id,type,question,options,correct_answers,explanation,image
1,single,"Bạn hãy cho biết, phát biểu sau đây là Đúng hay Sai: ""Trong Windows 10, tính năng tự động sửa (Autocorrect) luôn được kiểm soát trên từng ứng dụng.""",Đúng|Sai,Đúng,"Trong hệ thống Windows 10 và các phần mềm (như MS Word, trình duyệt, ứng dụng chat), tính năng Autocorrect có thể được bật/tắt hoặc tùy chỉnh riêng biệt theo từng ứng dụng cụ thể."
2,single,"Cô Wilkins đang xử lý một bảng tính. Ở cột đầu tiên, cô nhập danh sách học sinh trong lớp. Ở cột thứ hai, cô ấy nhập ""Có"" hoặc ""Không"" cạnh tên của từng học sinh để biểu thị việc học sinh đã không hoàn thành bài kiểm tra cuối kỳ hay chưa. Ở một số phần trong danh sách, cô nhận thấy rằng khi cô nhập chữ cái ""Y"", từ ""Có"" sẽ xuất hiện trong ô. Tính năng nào tạo nên sự thay đổi này?",Tự động hoàn tất (AutoComplete)|Tự khớp (AutoFit)|Tự động điền (AutoFill)|Tự định dạng (AutoFormat),Tự động hoàn tất (AutoComplete),Tính năng AutoComplete trong Excel nhận diện các ký tự đầu tiên vừa gõ và tự động đề xuất/điền hoàn chỉnh giá trị đã xuất hiện trước đó trong cùng một cột.
3,single,"Bạn hãy điền vào chỗ trống để hoàn thiện phát biểu sau đây: ""Đề xuất của Google là một tính năng ....... được sử dụng phổ biến trong các tìm kiếm.""",tự động hoàn thành (autocomplete)|tự động tìm kiếm (autosearch)|tự động sửa lỗi (autofix)|tự động chỉnh đúng (autocorrect),tự động hoàn thành (autocomplete),Google Suggest (Google Search Suggestions) là tính năng Autocomplete dự đoán và hoàn thiện câu truy vấn dựa trên những ký tự người dùng bắt đầu nhập.
4,single,Tính năng phần mềm nào sau đây sử dụng một vài kí tự đầu tiên mà người dùng nhập để dự đoán phần còn lại của từ và sau đó tự động hoàn thành từ đó?,Autocorrect|Tự động hoá (Automation)|Autocomplete|Trình kiểm tra ngữ pháp (Grammar Checker),Autocomplete,Autocomplete (Tự động hoàn tất) phân tích các ký tự đầu tiên để hiển thị gợi ý hoặc tự động điền toàn bộ từ/cụm từ còn lại.
5,single,"Billy đang đánh máy bài viết của mình. Anh ấy gõ ""cía"" và khi gõ phím cách, từ đó đổi thành ""cái"". Tính năng nào tạo nên sự thay đổi này?",Tự định dạng (AutoFormat)|Xác thực dữ liệu (Data validation)|Trình soát chính tả (Spelling checker)|Tự sửa (AutoCorrect),Tự sửa (AutoCorrect),AutoCorrect tự động phát hiện và thay thế các từ viết sai phổ biến (như 'cía' thành 'cái') ngay khi nhấn phím Space.
6,single,"Tính năng phần mềm nào giúp sửa lỗi chính tả khi bạn nhập và có thể đoán (các) chữ cái bạn muốn nhập? Ví dụ: khi bạn đang nhập tin nhắn văn bản, điện thoại của bạn có thể thay thế ""see you latet"" bằng ""see you later"".",Trình kiểm tra ngữ pháp (Grammar Checker)|Tự động sửa lỗi (Autocorrect)|Tự động hoá (Automation)|Tự động hoàn thành (Autocomplete),Tự động sửa lỗi (Autocorrect),Autocorrect chịu trách nhiệm phát hiện các lỗi chính tả gõ nhầm chữ cái và tự động chuyển đổi thành từ vựng chính xác.
7,single,Bạn có các tài khoản Google riêng để sử dụng tại trường học và cho mục đích cá nhân. Bạn đã đăng nhập vào tài khoản cá nhân của mình. Bạn cần truy cập một tập tin được chia sẻ với bạn thông qua Google Drive của tài khoản trường học của bạn. Bạn nên làm gì?,"Trong phần cài đặt tài khoản Google cá nhân, bỏ chặn tài khoản trường học của bạn|Đặt cấu hình cả hai tài khoản để sử dụng cùng một mật khẩu|Liên kết Google Drive của tài khoản cá nhân và tài khoản trường học|Chuyển từ tài khoản Google cá nhân sang tài khoản trường học của bạn",Chuyển từ tài khoản Google cá nhân sang tài khoản trường học của bạn,"Để truy cập dữ liệu nội bộ được phân quyền riêng cho tài khoản trường học, bạn chỉ cần chuyển đổi (Switch account) sang tài khoản trường học trên trình duyệt."
8,matrix,"Với mỗi câu phát biểu về trình duyệt Web, hãy chọn Có nếu bạn có thể thực hiện tác vụ hoặc chọn Không nếu bạn không thể.","COLS: Có | Không /// ROWS: Tuỳ chỉnh các nút, menu hoặc thanh công cụ của trình duyệt Web | Thay đổi trang chủ của trình duyệt Web | Thêm các phần bổ trợ và phần mở rộng vào trình duyệt để có thêm chức năng","Tuỳ chỉnh các nút, menu hoặc thanh công cụ của trình duyệt Web: Không | Thay đổi trang chủ của trình duyệt Web: Có | Thêm các phần bổ trợ và phần mở rộng vào trình duyệt để có thêm chức năng: Có","Trình duyệt hiện đại cho phép cài tiện ích mở rộng (Extensions/Add-ons) và đổi trang chủ (Homepage), nhưng không hỗ trợ người dùng tự do biên tập, lập trình lại hệ thống thanh menu/thanh công cụ gốc."
9,single,"Bạn có nhiều tài khoản Microsoft. Một tài khoản dành cho trường học, một tài khoản dùng cho gia đình và một tài khoản dùng cho các hoạt động chơi game của bạn. Bạn có các tập tin được lưu trữ trên OneDrive được liên kết với từng loại tài khoản. Bạn đã đăng nhập vào tài khoản gia đình của mình nhưng bạn cần truy cập một tập tin được chia sẻ với bạn thông qua OneDrive trên tài khoản chơi game của bạn. Tuỳ chọn nào sau đây là phù hợp?",Liên kết tài khoản trò chơi của bạn với tài khoản gia đình bạn|Thiết lập tài khoản Google được chia sẻ cho cả hai tài khoản Microsoft|Định cấu hình lại cả hai tài khoản Microsoft để sử dụng cùng một ID và mật khẩu đăng nhập|Chuyển từ tài khoản Microsoft gia đình của bạn sang tài khoản Microsoft chơi game của bạn,Chuyển từ tài khoản Microsoft gia đình của bạn sang tài khoản Microsoft chơi game của bạn,Mỗi tài khoản Microsoft có không gian OneDrive riêng biệt; giải pháp chuẩn xác và nhanh nhất là chuyển sang tài khoản chơi game để mở đúng tệp tin được cấp quyền.
10,multiple,Hai cài đặt trình duyệt nào sau đây có thể được thay đổi để đáp ứng nhu cầu và sở thích cá nhân? (Chọn 2),Tắt Cookie (Disabling cookies)|Thêm nội dung vào Trợ giúp|Đặt tên URL (Naming URLs)|Thêm tiện ích mở rộng trình duyệt (Adding browser extensions),Tắt Cookie (Disabling cookies)|Thêm tiện ích mở rộng trình duyệt (Adding browser extensions),Người dùng có thể cá nhân hóa trình duyệt bằng cách cài thêm Extensions bổ sung tính năng và thay đổi cài đặt bảo mật/quyền riêng tư như vô hiệu hóa Cookie.
