id,type,question,options,correct_answers,explanation,image
1,multiple,Các bước người ta có thể làm để chống lại cảm giác FOMO là gì? (Chọn 2),"Gặp gỡ trực tiếp với mọi người|Dành nhiều thời gian hơn trên mạng xã hội|Đọc thêm tin tức|Trên mạng xã hội, ẩn những người khoe khoang nhiều","Gặp gỡ trực tiếp với mọi người|Trên mạng xã hội, ẩn những người khoe khoang nhiều","Để giảm bớt cảm giác sợ bỏ lỡ (FOMO), cần hạn chế tiếp xúc với các nội dung khoe mẽ tiêu cực trên mạng xã hội và tăng cường gặp gỡ, giao tiếp đời thực.",
2,multiple,Những yếu tố nào được coi là tác động tiêu cực của FOMO? (Chọn 2),Tài chính (Finances)|Trầm cảm (Depression)|Sự mất mát (Loss)|Sự cô đơn (Loneliness),Trầm cảm (Depression)|Sự cô đơn (Loneliness),"FOMO khiến người dùng thường xuyên so sánh cuộc sống bản thân với người khác, dẫn đến cảm giác bị cô lập, cô đơn và gia tăng nguy cơ trầm cảm.",
3,multiple,Bryce đang bị lo lắng và trầm cảm do hội chứng sợ bỏ lỡ (FOMO). Tuỳ chọn nào sau đây là triệu chứng hoặc ảnh hưởng của hội chứng FOMO? (Chọn 2),"Anh ấy lo lắng khi thuyết trình trước lớp|Anh ấy lo lắng rằng điểm số của mình sẽ bị ảnh hưởng nếu anh ấy không hoàn thành bài tập về nhà|Mỗi khi thích thú một hoạt động nào đó, anh ấy phải ngay lập tức cập nhật trạng thái của mình lên mạng|Anh ấy cần hiểu tất cả những trò đùa mà bạn bè của anh ấy đăng trên mạng xã hội","Mỗi khi thích thú một hoạt động nào đó, anh ấy phải ngay lập tức cập nhật trạng thái của mình lên mạng|Anh ấy cần hiểu tất cả những trò đùa mà bạn bè của anh ấy đăng trên mạng xã hội",Nhu cầu bắt buộc phải cập nhật trạng thái ngay lập tức và nỗi sợ không hiểu được các cuộc vui/trò đùa của bạn bè trên mạng là biểu hiện đặc trưng của FOMO.,
4,matrix,"Bạn bè của bạn đang trêu chọc bạn. Họ nói rằng bạn có tất cả các triệu chứng của FOMO. Đối với mỗi tuyên bố về FOMO, hãy chọn Đúng nếu phát biểu là đúng hoặc Sai nếu phát biểu sai.","COLS: Đúng | Sai /// ROWS: FOMO là một chứng rối loạn do đeo khẩu trang trong khi sử dụng mạng xã hội | FOMO là ""Cảm giác bỏ lỡ"" | Mặc dù FOMO không được coi là một rối loạn sức khoẻ tâm thần, nó được gây ra bởi một nhóm cảm xúc rất thực và mang lại những tác động thực sự","FOMO là một chứng rối loạn do đeo khẩu trang trong khi sử dụng mạng xã hội: Sai | FOMO là ""Cảm giác bỏ lỡ"": Đúng | Mặc dù FOMO không được coi là một rối loạn sức khoẻ tâm thần, nó được gây ra bởi một nhóm cảm xúc rất thực và mang lại những tác động thực sự: Đúng",FOMO là viết tắt của Fear Of Missing Out (nỗi sợ bỏ lỡ cơ hội/cuộc vui); tuy không phải bệnh lý tâm thần chính thức nhưng nó tạo ra sự lo âu và tác động tâm lý có thật.,
5,multiple,Đâu là hai ví dụ về hội chứng FOMO (sợ bỏ lỡ)? (Chọn 2),"Bạn lo lắng khi phát hiện ra bạn bè của mình đang vui vẻ trên mạng xã hội mà không có bạn|Mua trước một bảng điều khiển trò chơi mới để đảm bảo rằng bạn không phải là người duy nhất không có khi sản phẩm được phát hành|Gửi Virus, phần mềm gián điệp hoặc chương trình xâm nhập cho ai đó để theo dõi họ|Đe doạ chia sẻ những bức ảnh đáng xấu hổ nhằm kiểm soát hoặc tống tiền ai đó",Bạn lo lắng khi phát hiện ra bạn bè của mình đang vui vẻ trên mạng xã hội mà không có bạn|Mua trước một bảng điều khiển trò chơi mới để đảm bảo rằng bạn không phải là người duy nhất không có khi sản phẩm được phát hành,Lo lắng khi thấy bạn bè đi chơi mà không có mình và mua sắm theo trào lưu chỉ vì sợ tụt hậu so với đám đông là hai hành vi điển hình của FOMO.,
6,single,Người dùng gặp một người trực tuyến đang cố gắng thiết lập mối quan hệ. Điều gì có thể xảy ra với người dùng?,Baiting|Catfishing|Social engineering|Phishing,Catfishing,Catfishing là hành vi tạo danh tính/hồ sơ giả mạo trên mạng xã hội nhằm lừa gạt tình cảm hoặc thiết lập các mối quan hệ ảo vì mục đích riêng.,
7,multiple,Tuỳ chọn nào sau đây là ví dụ về catfishing? (Chọn 2),Đưa người dùng vào một cuộc tranh cãi trên các trang web truyền thông xã hội|Lưu hành truyện cười và meme hài hước trực tuyến|Giả làm người khác trên mạng xã hội|Tạo một hồ sơ hư cấu trên một trang web hẹn hò,Giả làm người khác trên mạng xã hội|Tạo một hồ sơ hư cấu trên một trang web hẹn hò,"Catfishing là việc tạo hồ sơ ảo, mạo danh thông tin và hình ảnh của người khác để giao lưu, lừa dối người khác qua ứng dụng hẹn hò hoặc mạng xã hội.",
8,single,Một người nên tìm kiếm lời khuyên trước khi tham gia vào một thử thách trên internet.,Đúng|Sai,Đúng,Nhiều thử thách mạng (Internet challenges) tiềm ẩn nguy cơ gây nguy hiểm tính mạng hoặc vi phạm pháp luật; cần tham khảo ý kiến người lớn hoặc chuyên gia trước khi tham gia.,
9,matrix,"Một người mà bạn không biết kết bạn với bạn trên mạng xã hội và bắt đầu giao tiếp với bạn thông qua chức năng tin nhắn văn bản trên mạng xã hội. Với mỗi câu phát biểu, hãy chọn Có nếu đó là dấu hiệu cảnh báo lừa đảo công nghệ cao hoặc Không nếu không phải.",COLS: Có | Không /// ROWS: Người đó yêu cầu bạn gửi tiền | Người đó không muốn trò chuyện qua video | Người đó có nhiều người theo dõi trên mạng xã hội,Người đó yêu cầu bạn gửi tiền: Có | Người đó không muốn trò chuyện qua video: Có | Người đó có nhiều người theo dõi trên mạng xã hội: Không,Đòi hỏi tiền bạc và luôn từ chối gọi video để giấu mặt là hai dấu hiệu cảnh báo nghiêm trọng của kẻ lừa đảo mạo danh (catfisher).,
10,single,"Một người hàng xóm trong độ tuổi thiếu niên tạo tài khoản mạng xã hội, qua đó cô ấy đóng giả là một người đàn ông 40 tuổi. Hồ sơ tài khoản chứa ảnh của một người đàn ông mà cô tìm thấy trên mạng. Thông qua tài khoản này, cô kết nối với những người hàng xóm khác và với phụ huynh của học sinh tại trường của mình, sau đó bảo trợ cho một cuộc gây quỹ trực tuyến vì lợi ích của chính cô. Cô hàng xóm của bạn đang làm gì?",Tấn công giả mạo (Phishing)|Lừa đảo công nghệ cao (Catfishing)|Trêu đùa (Trolling)|Tấn công mạng (Cyberhacking),Lừa đảo công nghệ cao (Catfishing),Dùng hình ảnh người khác để tạo dựng danh tính giả trên mạng nhằm kết nối và lừa đảo tiền bạc là hành vi lừa đảo trực tuyến mạo danh (Catfishing).,
