id,type,question,options,correct_answers,explanation,image
1,matrix,"Người sử dụng lao động đã giao bạn phụ trách viết bản tin hàng tháng cho công ty của bạn. Cô ấy yêu cầu bạn mời tất cả nhân viên đóng góp ý kiến về những gì họ muốn đưa vào bản tin mỗi tháng. Công ty của bạn có hơn 200 nhân viên ở bốn vị trí địa lý. Các phương pháp khác nhau mà bạn có thể sử dụng để thu thập phản hồi từ các nhân viên khác là gì? Đối với mỗi phát biểu về việc thu thập câu trả lời, hãy chọn Đúng nếu phù hợp hoặc Sai nếu không phù hợp.",COLS: Đúng | Sai /// ROWS: Viết blog về công việc mà người sử dụng lao động đã giao cho bạn Yêu cầu mọi người trên mạng xã hội đăng ý tưởng của họ | Gửi một cuộc khảo sát qua Email cho tất cả nhân viên của công ty | Đăng biểu mẫu trên trang web của công ty và mời tất cả nhân viên hoàn thành biểu mẫu,Viết blog về công việc mà người sử dụng lao động đã giao cho bạn Yêu cầu mọi người trên mạng xã hội đăng ý tưởng của họ: Sai | Gửi một cuộc khảo sát qua Email cho tất cả nhân viên của công ty: Đúng | Đăng biểu mẫu trên trang web của công ty và mời tất cả nhân viên hoàn thành biểu mẫu: Đúng,"Khảo sát email nội bộ và biểu mẫu trên cổng thông tin công ty giúp tiếp cận đầy đủ, chuyên nghiệp tới hơn 200 nhân viên ở các chi nhánh; không nên đăng việc nội bộ lên mạng xã hội công khai.",
2,matrix,"Bạn cần đánh giá xem nội dung của bài viết trực tuyến có chứa thành kiến hay không. Với mỗi khía cạnh của bài viết, hãy chọn Có nếu bạn cần kiểm tra yếu tố đó để đánh giá tính thành kiến của bài viết hoặc Không nếu không cần.",COLS: Có | Không /// ROWS: Nguồn tài trợ bài viết | Ngày xuất bản bài viết | Trình độ giáo dục của tác giả | Mối liên hệ của tác giả với các tổ chức chính trị,Nguồn tài trợ bài viết: Có | Ngày xuất bản bài viết: Không | Trình độ giáo dục của tác giả: Không | Mối liên hệ của tác giả với các tổ chức chính trị: Có,Nguồn tài trợ tài chính và các mối liên hệ lợi ích chính trị là hai yếu tố cốt lõi trực tiếp tạo ra sự thiên lệch (thành kiến/bias) trong nội dung của bài viết.,
3,single,"Trong một số các nguồn thông tin trực tuyến, loại trang Web nào có nhiều khả năng xuất bản thông tin đáng tin cậy nhất?",Trang Wiki|Tạp chí học thuật|Trang web tin tức|Blog cá nhân,Tạp chí học thuật,Tạp chí học thuật (Academic journals) có quy trình bình duyệt chuyên gia (peer-review) nghiêm ngặt trước khi xuất bản nên có độ tin cậy và chính xác khoa học cao nhất.,
4,matrix,"Bạn đang chuẩn bị viết bài nghiên cứu. Bạn tìm thấy một nghiên cứu khoa học liên quan tới chủ đề của mình. Bạn cần phải xác định xem liệu nghiên cứu đó có đáng tin hay không. Với mỗi câu phát biểu, hãy chọn Có nếu bạn phải xem xét yếu tố đó để đánh giá độ tin cậy của nghiên cứu hoặc Không nếu bạn không cần.",COLS: Có | Không /// ROWS: Mức độ phổ biến của nghiên cứu | Tổ chức tài trợ cho nghiên cứu | Đơn vị công bố kết quả nghiên cứu,Mức độ phổ biến của nghiên cứu: Không | Tổ chức tài trợ cho nghiên cứu: Có | Đơn vị công bố kết quả nghiên cứu: Có,"Độ tin cậy của công trình khoa học dựa vào uy tín đơn vị xuất bản và sự minh bạch của tổ chức tài trợ, không đo lường bằng độ lan truyền hay số lượng chia sẻ trên mạng xã hội.",
5,multiple,"Một cô gái xây dựng trang Web đầu tiên. Cô gái phải suy nghĩ về thiết kế và chức năng. Vì vậy, cô ấy đang tìm kiếm phản hồi để cung cấp thông tin và cải thiện việc học của mình. Hai ví dụ nào về cách người dùng có thể tìm kiếm phản hồi hiệu quả để cung cấp thông tin và cải thiện việc học của họ? (Chọn 2)",Chạy quảng cáo trên trang web và theo dõi số lượng nhấp chuột được thu thập|Nhờ người có chuyên môn xem xét trang web và đưa ra phản hồi|Gửi một cuộc khảo sát mời người dùng đưa ra phản hồi về trang web|Đọc một cuốn sách hay về thiết kế trang web,Nhờ người có chuyên môn xem xét trang web và đưa ra phản hồi|Gửi một cuộc khảo sát mời người dùng đưa ra phản hồi về trang web,"Nhận đánh giá từ chuyên gia trong ngành giúp chỉ ra các lỗi kỹ thuật/thẩm mỹ, và khảo sát người dùng thực tế giúp nắm bắt trải nghiệm sử dụng (UX) khách quan.",
6,matrix,"Làm thế nào bạn có thể đánh giá mức độ liên quan của một kết quả tìm kiếm hoặc tạo tác kỹ thuật số? Đối với mỗi tuyên bố về đánh giá mức độ liên quan, hãy chọn Đúng nếu nó xác nhận mức độ liên quan hoặc Sai nếu nó không xác nhận mức độ liên quan.","COLS: Đúng | Sai /// ROWS: Sử dụng các tuỳ chọn nâng cao khi tìm kiếm | Nó không khớp với thông tin bạn cần, nhưng nó có một tiêu đề thực sự thú vị | Tất cả các kết quả trả về từ một công cụ tìm kiếm đều có liên quan | Các tiêu đề, tóm tắt và năm xuất bản phù hợp với nhu cầu thông tin của bạn","Sử dụng các tuỳ chọn nâng cao khi tìm kiếm: Đúng | Nó không khớp với thông tin bạn cần, nhưng nó có một tiêu đề thực sự thú vị: Sai | Tất cả các kết quả trả về từ một công cụ tìm kiếm đều có liên quan: Sai | Các tiêu đề, tóm tắt và năm xuất bản phù hợp với nhu cầu thông tin của bạn: Đúng","Mức độ liên quan phụ thuộc vào việc nội dung, tiêu đề và tóm tắt có giải quyết đúng mục tiêu tìm kiếm hay không; công cụ tìm kiếm luôn có thể trả về các kết quả không liên quan.",
7,multiple,Bạn cần xác định xem một bài báo trình bày thông tin thực tế hay thành kiến. Đâu là hai dấu hiệu cho thấy bài báo trình bày quan điểm thành kiến? (Chọn 2),"Tác giả nói rằng các tác giả của một bài báo đối lập có tư tưởng cực đoạn, do đó không thể hiểu chủ đề|Tác giả hỗ trợ những ý tưởng trong bài viết bằng cách trình bày những câu chuyện thú vị thay vì những con số thống kê|Bài báo được đăng trên một tờ báo nhỏ, không phải là một tạp chí học thuật nổi tiếng|Tác giả đưa vào các biện luận để phản bác quan điểm đối lập","Tác giả nói rằng các tác giả của một bài báo đối lập có tư tưởng cực đoạn, do đó không thể hiểu chủ đề|Tác giả hỗ trợ những ý tưởng trong bài viết bằng cách trình bày những câu chuyện thú vị thay vì những con số thống kê",Dấu hiệu thành kiến rõ rệt gồm việc công kích cá nhân đối lập (ad hominem) và sử dụng bằng chứng mang tính giai thoại/kể chuyện cảm tính thay vì số liệu thống kê khoa học.,
8,single,"Người dùng muốn tìm kiếm cụm từ Yankee Candle, nhưng không có cụm từ tìm kiếm trả về các kết quả phù hợp riêng lẻ với các từ Yankee hoặc Candle. Loại dấu câu hoặc ký hiệu nào nên được sử dụng xung quanh cụm từ khi tìm kiếm?",Dấu ngoặc đơn|Dấu ngoặc vuông|Dấu ngoặc kép|Dấu ngoặc nhọn,Dấu ngoặc kép,"Đặt cụm từ trong dấu ngoặc kép (ví dụ: ""Yankee Candle"") buộc công cụ tìm kiếm phải truy vấn chính xác cả cụm từ theo đúng thứ tự đó.",
9,multiple,Bạn hãy cho biết ba tài nguyên công cộng (Community Resource) cho phép người dùng tra cứu các tài nguyên trực tuyến? (chọn 3),Bệnh viện|Toà án|Các phòng ban Giao Thông Vận Tải|Trường học|Thư viện,Các phòng ban Giao Thông Vận Tải|Trường học|Thư viện,"Thư viện công cộng, trường học và cổng dịch vụ công của cơ quan Giao thông vận tải thường xuyên cung cấp hệ thống máy tính và cổng tra cứu thông tin trực tuyến cho người dân.",
10,single,"Bạn cần tìm người chải lông cho chú chó của mình. Tài nguyên trực tuyến nào sẽ là lựa chọn tốt nhất để giúp bạn tìm một dịch vụ cộng đồng, chẳng hạn như người cắt tỉa lông cho chó?",Google|Instagram|Twitter|Facebook,Google,Google tích hợp bản đồ và thông tin định vị doanh nghiệp địa phương (Google Maps / Local Search) giúp tìm các dịch vụ dân sinh gần nhất hiệu quả nhất.,
