id,type,question,options,correct_answers,explanation,image
1,matrix,"Bạn đang tiến hành nghiên cứu trên mạng trong một tiết học. Với mỗi chủ đề tìm kiếm, hãy chọn Có nếu phải sử dụng toán tử tìm kiếm (Boolean) để hỗ trợ xác định các kết quả liên quan nhanh hơn. Ngược lại, hãy chọn Không.",COLS: Có | Không /// ROWS: Các sở thú ở bên ngoài Châu Phi | Thông tin chung về ngựa vằn | Một câu trích dẫn cụ thể của một tác giả nào đó | Voi ở nam bán cầu,Các sở thú ở bên ngoài Châu Phi: Có | Thông tin chung về ngựa vằn: Không | Một câu trích dẫn cụ thể của một tác giả nào đó: Có | Voi ở nam bán cầu: Có,"Chủ đề chung chung chỉ cần từ khóa đơn giản; các chủ đề kết hợp nhiều điều kiện hoặc loại trừ (loại trừ Châu Phi, trích dẫn chính xác, nam bán cầu) cần dùng toán tử Boolean (AND, NOT, dấu ngoặc kép) để lọc nhanh hơn.",
2,matrix,"Nối từng định nghĩa chuỗi tìm kiếm Boolean với chuỗi tìm kiếm Boolean tương ứng. Để trả lời, hãy di chuyển từng định nghĩa từ danh sách ở bên trái sang chuỗi tìm kiếm tương ứng ở bên phải.",COLS: trâu NOT bò rừng | (cá OR rùa) AND thái bình dương | sư tử OR hổ /// ROWS: Trả kết quả không bao gồm một từ | Trả kết quả cho một trong hai từ nếu có từ còn lại | Trả kết quả cho một trong hai từ,Trả kết quả không bao gồm một từ: trâu NOT bò rừng | Trả kết quả cho một trong hai từ nếu có từ còn lại: (cá OR rùa) AND thái bình dương | Trả kết quả cho một trong hai từ: sư tử OR hổ,NOT loại trừ một từ khỏi kết quả; OR chấp nhận xuất hiện một hoặc cả hai từ khóa; kết hợp (OR) AND yêu cầu tìm một trong hai từ khóa đầu tiên đi kèm từ khóa thứ hai.,
3,matrix,Bạn đang thực hiện một nghiên cứu trên nền tảng trực tuyến. Khi nào bạn nên sử dụng toán tử tìm kiếm (Boolean)? Hoàn thành các câu sau đây bằng cách lựa chọn đúng tùy chọn từ mỗi danh sách thả xuống:,COLS: Thu hẹp; kết hợp các thuật ngữ | Mở rộng; bao gồm nhiều lựa chọn | Thu hẹp; loại trừ /// ROWS: Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử AND | Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử OR | Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử NOT,Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử AND: Thu hẹp; kết hợp các thuật ngữ | Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử OR: Mở rộng; bao gồm nhiều lựa chọn | Để ... kết quả tìm kiếm sử dụng phương pháp ... bằng cách sử dụng toán tử NOT: Thu hẹp; loại trừ,Toán tử AND thu hẹp kết quả bằng cách yêu cầu xuất hiện đồng thời các từ; OR mở rộng kết quả với nhiều lựa chọn thay thế; NOT thu hẹp kết quả bằng cách loại trừ các từ không mong muốn.,
4,matrix,Bạn đang thực hiện một nghiên cứu trên nền tảng trực tuyến. Khi nào bạn nên sử dụng tìm kiếm với toán tử Boolean? Hoàn thành các phát biểu sau đây bằng cách chọn một tuỳ chọn đúng từ mỗi danh sách thả xuống:,"COLS: Thu hẹp; kết hợp các thuật ngữ tìm kiếm với nhau | Thu hẹp; không chứa một số từ | Mở rộng; bao gồm nhiều lựa chọn thay thế tìm kiếm /// ROWS: Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử AND | Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử OR | Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử NOT","Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử AND: Thu hẹp; kết hợp các thuật ngữ tìm kiếm với nhau | Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử OR: Mở rộng; bao gồm nhiều lựa chọn thay thế tìm kiếm | Để ........... kết quả tìm kiếm, bằng cách sử dụng toán tử NOT: Thu hẹp; không chứa một số từ",AND dùng để thu hẹp kết quả thông qua kết hợp thuật ngữ; OR mở rộng phạm vi tìm kiếm với các từ đồng nghĩa/thay thế; NOT dùng để lọc bỏ các trang chứa từ khóa chỉ định.,
5,single,"Bạn đang tìm kiếm công việc là một vị trí Quản lí dự án - ""Project Manager"" làm việc với cơ sở dữ liệu SQL trên Internet. Nhưng bạn không nói được tiếng Tây Ban Nha - Spanish. Đầu tiên, bạn cố gắng nhập các từ khoá ""Project Manager"" đã trả lại quá nhiều kết quả không liên quan đến SQL hoặc bắt buộc phải có kỹ năng tiếng Tây Ban Nha. Bạn quyết định thu hẹp kết quả của mình bằng cách tìm kiếm với toán tử Boolean. Tìm kiếm với toán tử Boolean nào sau đây sẽ phù hợp để chỉ trả về các vị trí quản lí dự án liên quan đến SQL và không kèm kỹ năng ngôn ngữ tiếng Tây Ban Nha?","""Project Manager"" AND SQL AND Spanish|""Project Manager"" AND SQL AND NOT Spanish|""Project Manager"" AND NOT SQL AND Spanish|""Project Manager"" AND NOT (SQL OR Spanish)","""Project Manager"" AND SQL AND NOT Spanish","Toán tử AND bắt buộc có mặt cả ""Project Manager"" và SQL, kết hợp NOT Spanish để loại bỏ hoàn toàn các yêu cầu liên quan đến tiếng Tây Ban Nha.",
6,single,Có thể sử dụng toán tử tìm kiếm nào để xem xét kết quả chứa nhiều từ khoá?,BUT|OR|EXCEPT|AND,AND,Toán tử AND yêu cầu kết quả tìm kiếm phải chứa đồng thời tất cả các từ khóa được chỉ định.,
7,matrix,Bạn đang tiến hành nghiên cứu trực tuyến bằng cách sử dụng toán tử tìm kiếm Boolean. Chọn Đúng nếu tìm kiếm bằng cách sử dụng toán tử Boolean sẽ đạt được kết quả mong muốn hoặc Sai nếu không:,"COLS: Đúng | Sai /// ROWS: Để mở rộng kết quả tìm kiếm, hãy loại trừ các từ bằng cách sử dụng toán tử NOT | Để mở rộng kết quả tìm kiếm, hãy kết hợp các cụm từ tìm kiếm thay thế bằng toán tử OR | Để thu hẹp kết quả tìm kiếm, hãy kết hợp các cụm từ tìm kiếm bằng toán tử AND","Để mở rộng kết quả tìm kiếm, hãy loại trừ các từ bằng cách sử dụng toán tử NOT: Sai | Để mở rộng kết quả tìm kiếm, hãy kết hợp các cụm từ tìm kiếm thay thế bằng toán tử OR: Đúng | Để thu hẹp kết quả tìm kiếm, hãy kết hợp các cụm từ tìm kiếm bằng toán tử AND: Đúng",NOT dùng để thu hẹp kết quả chứ không phải mở rộng; OR dùng để mở rộng tìm kiếm và AND dùng để thu hẹp kết quả.,
8,single,"Định dạng tập tin nào trong số các định dạng tập tin sau đây có khả năng chứa âm thanh, Video và các phương tiện khác bằng việc chứa dữ liệu không phải mã (Code)?",WAV|WMA|MP4|MP3,MP4,"MP4 là định dạng vùng chứa đa phương tiện (container format) có thể đóng gói đồng thời video, audio, phụ đề và hình ảnh tĩnh trong cùng một tệp.",
9,matrix,"Bạn đã được giao nhiệm vụ tạo một Video trình chiếu về ý nghĩa lịch sử của các di tích. Đối với mỗi phát biểu về chỉnh sửa nội dung Video và âm thanh, hãy chọn Đúng hoặc Sai:","COLS: Đúng | Sai /// ROWS: Bạn có thể sử dụng hình ảnh tĩnh và một số kĩ thuật chỉnh sửa đơn giản để tạo ra một Video trực quan hấp dẫn | Bạn có thể tạo một Video trau chuốt chỉ bằng cách sử dụng các cảnh quay có sẵn | Nói chung, việc lồng tiếng một Video cũ hơn để sử dụng lại là không khả thi","Bạn có thể sử dụng hình ảnh tĩnh và một số kĩ thuật chỉnh sửa đơn giản để tạo ra một Video trực quan hấp dẫn: Đúng | Bạn có thể tạo một Video trau chuốt chỉ bằng cách sử dụng các cảnh quay có sẵn: Đúng | Nói chung, việc lồng tiếng một Video cũ hơn để sử dụng lại là không khả thi: Sai",Ghép ảnh tĩnh với hiệu ứng chuyển động (Ken Burns) hoặc dùng stock footage hoàn toàn có thể tạo video đẹp; việc thu âm lồng tiếng mới (dubbing/voiceover) cho video cũ là thao tác rất phổ biến và hoàn toàn khả thi.,
10,multiple,Người dùng nên tìm kiếm những phẩm chất nào trong kết quả tìm kiếm trực tuyến của họ? (Chọn 2),Quan trọng (Importance)|Không liên quan (Irrelevance)|Tính khách quan (Objectivity)|Thiên kiến (Bias)|Hiện hành (Currency),Tính khách quan (Objectivity)|Hiện hành (Currency),"Khi đánh giá kết quả tìm kiếm, hai tiêu chí hàng đầu là tính khách quan (Objectivity - không thiên vị) và tính cập nhật/thời sự (Currency - thông tin mới, còn giá trị).",
