id,type,question,options,correct_answers,explanation,image
1,multiple,Bạn hãy chọn hai phát biểu đúng khi lựa chọn địa điểm tổ chức hội nghị truyền hình? (Chọn 2),Địa điểm nên có chỗ ngồi nơi có ánh sáng tốt|Địa điểm nên cố gắng tìm một khu vực có ít hoặc không có tiếng ồn xung quanh|Địa điểm luôn phải ở trong một toà nhà chuyên nghiệp|Địa điểm nên tránh xa các thiết bị di động,Địa điểm nên có chỗ ngồi nơi có ánh sáng tốt|Địa điểm nên cố gắng tìm một khu vực có ít hoặc không có tiếng ồn xung quanh,"Một địa điểm họp video lý tưởng cần có đủ ánh sáng chiếu thẳng vào khuôn mặt và không gian yên tĩnh, cách ly tiếng ồn xung quanh.",
2,single,Loại tài sản nào được yêu cầu để đăng các mục trong diễn đàn cộng đồng Microsoft?,Domain|Microsoft|Windows|Azure,Microsoft,"Để đăng bài hoặc thảo luận trên Diễn đàn Cộng đồng Microsoft (Microsoft Community), người dùng bắt buộc phải đăng nhập bằng một Tài khoản Microsoft (Microsoft Account).",
3,single,Người dùng muốn xem các câu hỏi và câu trả lời phổ biến về Microsoft Outlook. Tuỳ chọn nào sau đây là phù hợp nhất để giúp người dùng có thể xem các câu hỏi và câu trả lời?,Help|What's New?|Community forum|Tell me,Community forum,Diễn đàn cộng đồng (Community forum) là nơi tập hợp đa dạng các chủ đề hỏi đáp thực tế và kinh nghiệm xử lý lỗi thường gặp từ hàng triệu người dùng khác.,
4,single,Mối quan tâm bảo mật chính của mua hàng trong ứng dụng là gì?,Trẻ em có quyền sử dụng điện thoại thông minh|Các nhà phát triển ứng dụng ăn cắp thông tin thẻ tín dụng|Hàng hoá sẽ không được vận chuyển đến đúng địa chỉ|Không có lo ngại về bảo mật,Trẻ em có quyền sử dụng điện thoại thông minh,Mối lo ngại hàng đầu của tính năng mua hàng trong ứng dụng (In-app purchases) là việc trẻ nhỏ sử dụng máy và vô tình thực hiện các giao dịch mua hàng trái ý muốn.,
5,matrix,"Với mỗi câu phát biểu về thanh toán kỹ thuật số, hãy chọn Đúng hoặc Sai.","COLS: Đúng | Sai /// ROWS: Tiền mặt có thể được coi là một loại hình thanh toán kỹ thuật số | Thẻ ghi nợ, thẻ tín dụng, thanh toán chuyển khoản qua ngân hàng và ví điện tử đều là các loại thanh toán kỹ thuật số | Thanh toán kỹ thuật số diễn ra khi cả người thanh toán và người được thanh toán sử dụng cách phương tiện điện tử để thực hiện và nhận thanh toán","Tiền mặt có thể được coi là một loại hình thanh toán kỹ thuật số: Sai | Thẻ ghi nợ, thẻ tín dụng, thanh toán chuyển khoản qua ngân hàng và ví điện tử đều là các loại thanh toán kỹ thuật số: Đúng | Thanh toán kỹ thuật số diễn ra khi cả người thanh toán và người được thanh toán sử dụng cách phương tiện điện tử để thực hiện và nhận thanh toán: Đúng","Tiền mặt là phương thức thanh toán vật lý truyền thống; thanh toán kỹ thuật số là các giao dịch số hóa thông qua thẻ, ngân sách số hoặc ứng dụng điện tử giữa hai bên.",
6,single,Thanh toán kỹ thuật số hoạt động như thế nào?,Thanh toán kỹ thuật số giống như một I.O.U.|Thanh toán kỹ thuật số yêu cầu liên kết với tài khoản ngân hàng hoặc thẻ tín dụng|Thanh toán kỹ thuật số yêu cầu người đồng ký|Thanh toán kỹ thuật số tương tự như séc điện tử,Thanh toán kỹ thuật số yêu cầu liên kết với tài khoản ngân hàng hoặc thẻ tín dụng,Các ứng dụng thanh toán kỹ thuật số hoạt động dựa trên cơ chế liên kết với nguồn tiền từ tài khoản ngân hàng hoặc thẻ tín dụng/ghi nợ của người dùng.,
7,multiple,Bạn hãy cho biết hai tuỳ chọn nào sau đây là nhà cung cấp phát nhạc trực tuyến? (Chọn 2),Netflix|Spotify|Vevo|Hulu,Spotify|Vevo,Spotify và Vevo là hai dịch vụ stream âm nhạc và video ca nhạc trực tuyến; Netflix và Hulu chuyên về phim ảnh và chương trình truyền hình.,
8,matrix,"Nối từng kiểu mua hàng trong ứng dụng với mô tả tương ứng. Để trả lời, hãy di chuyển các mục cột bên phải sang cột bên trái sao cho phù hợp",COLS: Tự động gia hạn | Vật tư không tiêu hao | Vật tư tiêu hao | Không tự động gia hạn /// ROWS: Mua đá quý hoặc tiền xu cho trò chơi trên thiết bị di động | Mở khoá một tính năng đặc biệt trên trò chơi điện tử | Thuê phim trực tuyến thông qua dịch vụ phát trực tuyến | Đăng ký dịch vụ phát video trực tuyến,Mua đá quý hoặc tiền xu cho trò chơi trên thiết bị di động: Vật tư tiêu hao | Mở khoá một tính năng đặc biệt trên trò chơi điện tử: Vật tư không tiêu hao | Thuê phim trực tuyến thông qua dịch vụ phát trực tuyến: Không tự động gia hạn | Đăng ký dịch vụ phát video trực tuyến: Tự động gia hạn,Vật tư tiêu hao (Consumable) dùng là hết như tiền tệ game; Vật tư không tiêu hao (Non-consumable) mở khóa vĩnh viễn; Thuê phim hết hạn là không gia hạn; Gói bao thuê phim định kỳ là tự động gia hạn.,
9,matrix,"Đối sánh dịch vụ truyền thông trực tuyến với ví dụ của nó. Để trả lời, hãy chuyển từng dịch vụ từ danh sách ở bên phải sang ví dụ tương ứng ở bên trái.","COLS: Spotify, Kodi, Web Browsers | Netflix, Disney+, Hulu, Amazon Prime | Roku, Amazon Firestick, Apple TV, Chromecast /// ROWS: Trình phát đa phương tiện (Media Players) | Truyền trực tuyến phim (Streaming Movies) | Thiết bị phát trực tuyến (Streaming Devices)","Trình phát đa phương tiện (Media Players): Spotify, Kodi, Web Browsers | Truyền trực tuyến phim (Streaming Movies): Netflix, Disney+, Hulu, Amazon Prime | Thiết bị phát trực tuyến (Streaming Devices): Roku, Amazon Firestick, Apple TV, Chromecast",Spotify/Kodi là phần mềm/trình phát đa phương tiện; Netflix/Disney+ là dịch vụ xem phim trực tuyến; Roku/Firestick/Apple TV là thiết bị phần cứng phát trực tuyến.,
10,multiple,Bạn hãy cho biết dịch vụ nào sau đây có thể phát trực tuyến Video? (Chọn 2),Amazon Prime|Sirius|Spotify|Disney+,Amazon Prime|Disney+,"Amazon Prime Video và Disney+ là hai nền tảng cung cấp dịch vụ truyền phát video trực tuyến (phim điện ảnh, series truyền hình) hàng đầu thế giới.",
