id,type,question,options,correct_answers,explanation,image
1,multiple,Hai phương thức giao tiếp nào không đồng bộ? (Chọn 2),Tham gia hội thảo video|Gửi tin nhắn văn bản|Gửi email|Gọi điện thoại,Gửi tin nhắn văn bản|Gửi email,"Giao tiếp không đồng bộ (Asynchronous communication) là hình thức trao đổi thông tin không đòi hỏi các bên phải phản hồi tức thì cùng lúc, ví dụ như gửi Email và Tin nhắn văn bản.",
2,single,"Khi bắt đầu năm học, giáo viên Khoa học sẽ gửi một Email đến tất cả các học sinh trong lớp của bạn. Trong thư có đính kèm một mẫu giấy phép dưới dạng tập tin PDF. Bạn Không có quyền truy cập vào máy in và phải gửi biểu mẫu cho cha mẹ của bạn để in. Trong email của giáo viên, bạn nên sử dụng tuỳ chọn nào dưới đây để gửi biểu mẫu cho phụ huynh của mình?",Reply All|Reply|Forward|Follow Up,Forward,Tùy chọn Chuyển tiếp (Forward) cho phép gửi lại toàn bộ nội dung email cùng tệp đính kèm sang một người nhận mới (ở đây là phụ huynh).,
3,single,"Hãy chọn cụm từ thích hợp vào khẳng định sau: ""Một bản sao Carbon (Cc) được gửi ....... có nghĩa là người nhận hoặc những người nhận ở dòng To sẽ thấy rằng một bản sao đã được gửi và nó đã được gửi cho ai.""",Công khai (public)|Bí mật (private)|Ẩn danh (anonymous)|Tự động (automatic),Công khai (public),"Trường Cc (Carbon Copy) gửi bản sao thư một cách công khai, cho phép tất cả mọi người trong chuỗi thư nhìn thấy danh sách địa chỉ email của nhau.",
4,matrix,Bạn cần xác định đúng trường địa chỉ email để sử dụng cho các mục đích cụ thể. Ghép từng trường địa chỉ với mục đích tương ứng.,COLS: Forward | Cc | Reply | Reply All | Bcc /// ROWS: Gửi Cc cho nhiều người trong thư và cho phép người nhận nhìn thấy các địa chỉ email khác | Gửi Cc cho nhiều người trong thư và KHÔNG cho người nhận nhìn thấy các địa chỉ email khác | Trả lời riêng người gửi thư và không bao gồm những người nhận thư khác | Trả lời người gửi thư và tất cả những người nhận thư đã biết khác | Gửi thư bạn nhận được từ một người cho người khác,Gửi Cc cho nhiều người trong thư và cho phép người nhận nhìn thấy các địa chỉ email khác: Cc | Gửi Cc cho nhiều người trong thư và KHÔNG cho người nhận nhìn thấy các địa chỉ email khác: Bcc | Trả lời riêng người gửi thư và không bao gồm những người nhận thư khác: Reply | Trả lời người gửi thư và tất cả những người nhận thư đã biết khác: Reply All | Gửi thư bạn nhận được từ một người cho người khác: Forward,Cc gửi công khai; Bcc gửi ẩn danh danh sách người nhận; Reply chỉ trả lời người gửi gốc; Reply All gửi cho toàn bộ danh sách; Forward chuyển tiếp thư cho người ngoài.,
5,single,"Tham khảo hình ảnh bên dưới. Nếu người dùng chọn tùy chọn Reply, ai sẽ nhận được phản hồi?",C. UAC Admin|D. Ben Walt|B. Sally Smith|A. Ben Walt and Sally Smith,D. Ben Walt,"Khi chọn nút Reply (Trả lời), phản hồi chỉ được gửi trực tiếp và duy nhất đến người đã gửi thư (trong hình là Ben Walt - mục D).",
6,multiple,Hai phát biểu nào là đúng về nguyên tắc nghi thức Email? (Chọn 2),"Hầu hết các chữ ký phải có họ và tên|Vì người nhận có thể thấy tập tin đính kèm, nên không cần thông báo cho người nhận về tập tin đính kèm|Chủ đề phải dài ít nhất một câu|Đoạn văn ngắn hơn tốt hơn đoạn văn dài",Hầu hết các chữ ký phải có họ và tên|Đoạn văn ngắn hơn tốt hơn đoạn văn dài,"Nghi thức email chuyên nghiệp đòi hỏi chữ ký rõ ràng đầy đủ họ tên và cách trình bày ngắn gọn, súc tích qua các đoạn văn ngắn để người đọc dễ theo dõi.",
7,single,"Khi cần gửi một thư điện tử (Email) đến một hoặc nhiều người nhận, nhưng họ không phải là người nhận chính và đồng thời danh sách những người nhận này cũng cần được công khai với tất cả người nhận khác. Theo bạn thì những người nhận này cần được thêm vào trường nào sau đây?",Bcc|To|Cc|Bc,Cc,Trường Cc (Carbon Copy) dùng để gửi thông tin cho những người liên quan (không phải đối tượng xử lý chính) và công khai địa chỉ của họ cho mọi người cùng biết.,
8,single,"Bạn muốn gửi Email cho một người nào đó, nhưng bạn muốn gửi một cách riêng tư để những người nhận Email khác không nhìn thấy địa chỉ Email của người này. Vậy theo bạn nên nhập địa chỉ Email của người này vào trường nào dưới đây",Bc|Bcc|To|Cc,Bcc,"Trường Bcc (Blind Carbon Copy) gửi bản sao ẩn danh, bảo vệ tuyệt đối sự riêng tư bằng cách ẩn danh sách người nhận này khỏi mắt những người khác.",
9,single,Mục đích của trường Bcc trong Email là gì?,Để chỉ ra rằng đây là tin nhắn cá nhân|Để chỉ ra rằng việc trả lời là không bắt buộc|Để thu thập thông tin về ai đó mà họ không biết|Để giữ bí mật địa chỉ Email của nhiều người nhận với nhau,Để giữ bí mật địa chỉ Email của nhiều người nhận với nhau,Bcc có mục đích chính là giữ kín thông tin và địa chỉ liên lạc của tập thể người nhận khi gửi thư hàng loạt.,
10,matrix,"Xác định các trường của một Email. Để trả lời, em hãy chuyển từng trường bên phải sang chức năng của nó ở bên trái sao cho phù hợp nhất",COLS: Subject | Cc | Body | Low - Normal - High | Bcc /// ROWS: Gửi bản sao đến những người nhận ẩn danh khác | Danh sách những người nhận được biết khác | Phần nội dung Email | Chủ đề của Email | Các đánh dấu mức độ quan trọng của thư,Gửi bản sao đến những người nhận ẩn danh khác: Bcc | Danh sách những người nhận được biết khác: Cc | Phần nội dung Email: Body | Chủ đề của Email: Subject | Các đánh dấu mức độ quan trọng của thư: Low - Normal - High,Bcc gửi ẩn danh; Cc gửi công khai; Body là thân bài nội dung; Subject là tiêu đề; Mức ưu tiên thư phân loại theo Low - Normal - High (Importance).,
