id,type,question,options,correct_answers,explanation,image
1,matrix,"Với từng phát biểu sau đây, hãy chọn Bảo vệ nếu là phát biểu giúp bảo vệ tài sản trí tuệ của bạn hoặc chọn Rủi ro nếu là phát biểu mang lại Rủi ro cho tài sản trí tuệ của bạn.","COLS: Bảo vệ | Rủi ro /// ROWS: Đăng kí bản quyền, nhãn hiệu và bằng sáng chế | Yêu cầu từng nhân viên kí thỏa thuận không tiết lộ | Cấp quyền truy cập không giới hạn các sản phẩm của bạn cho bên thứ ba | Thảo luận ý tưởng của bạn với thật nhiều người để đánh giá thực sự khách quan","Đăng kí bản quyền, nhãn hiệu và bằng sáng chế: Bảo vệ | Yêu cầu từng nhân viên kí thỏa thuận không tiết lộ: Bảo vệ | Cấp quyền truy cập không giới hạn các sản phẩm của bạn cho bên thứ ba: Rủi ro | Thảo luận ý tưởng của bạn với thật nhiều người để đánh giá thực sự khách quan: Rủi ro",Đăng ký bảo hộ sở hữu trí tuệ và ký thỏa thuận bảo mật (NDA) giúp bảo vệ tài sản sáng tạo; mở quyền truy cập không giới hạn hoặc tùy tiện chia sẻ ý tưởng với nhiều người sẽ tạo rủi ro bị đánh cắp ý tưởng.,
2,matrix,Bạn thân của bạn cảm thấy bạn nên trao đổi mật khẩu với các tài khoản trực tuyến của trường. Người hướng dẫn của bạn đã hướng dẫn lớp học của bạn rằng việc cho phép người khác biết mật khẩu của bạn có những rủi ro liên quan đến nó. Chọn Đúng nếu biết mật khẩu là một rủi ro có thể chấp nhận được hoặc Sai nếu không,COLS: Đúng | Sai /// ROWS: Mẹ của bạn đang ở trong bệnh viện và yêu cầu bạn thanh toán hóa đơn điện tử. Mẹ bạn cung cấp cho bạn thông tin đăng nhập và mật khẩu của mẹ bạn để bạn thanh toán với công ty điện lực | Bạn của bạn có thông tin đăng nhập và mật khẩu vào tài khoản mạng xã hội của bạn | Bạn của bạn có thông tin đăng nhập và mật khẩu vào tài khoản Paypal của bạn,Mẹ của bạn đang ở trong bệnh viện và yêu cầu bạn thanh toán hóa đơn điện tử. Mẹ bạn cung cấp cho bạn thông tin đăng nhập và mật khẩu của mẹ bạn để bạn thanh toán với công ty điện lực: Đúng | Bạn của bạn có thông tin đăng nhập và mật khẩu vào tài khoản mạng xã hội của bạn: Sai | Bạn của bạn có thông tin đăng nhập và mật khẩu vào tài khoản Paypal của bạn: Sai,Trường hợp khẩn cấp gia đình (mẹ nằm viện nhờ thanh toán) là rủi ro có thể chấp nhận được; tuyệt đối không chia sẻ mật khẩu mạng xã hội hoặc tài khoản tài chính (Paypal) cho bạn bè.,
3,matrix,Sắp xếp các bước để cài đặt quyền riêng tư của tài khoản Facebook. Sử dụng Privacy Shortcuts để kiểm tra một số cài đặt quan trọng. Kiểm tra ai có thể xem những gì mà bạn chia sẻ:,COLS: Bước 1 | Bước 2 | Bước 3 | Bước 4 | Bước 5 | Bước 6 /// ROWS: Chọn mũi tên thả xuống của Tài khoản (Account) | Chọn Cài đặt (Settings) | Chọn Quyền riêng tư (Privacy) | Chọn Kiểm tra một vài cài đặt quan trọng | Chọn Ai có thể xem những gì bạn chia sẻ | Chọn Tiếp tục,Chọn mũi tên thả xuống của Tài khoản (Account): Bước 1 | Chọn Cài đặt (Settings): Bước 2 | Chọn Quyền riêng tư (Privacy): Bước 3 | Chọn Kiểm tra một vài cài đặt quan trọng: Bước 4 | Chọn Ai có thể xem những gì bạn chia sẻ: Bước 5 | Chọn Tiếp tục: Bước 6,Trình tự kiểm tra quyền riêng tư Facebook: Mở menu Tài khoản -> Cài đặt & Quyền riêng tư -> Cài đặt -> Lối tắt quyền riêng tư/Kiểm tra cài đặt -> Chọn mục Ai có thể xem nội dung của bạn -> Tiếp tục.,
4,single,Bạn sao chép một đoạn Video dài 30 giây từ Internet. Bạn không biết ai đã tạo ra Video này. Tùy chọn nào sau đây là trường hợp sử dụng đoạn Video KHÔNG hợp pháp?,Bạn sử dụng đoạn Video trong bản tin|Bạn sử dụng đoạn Video để dạy học|Bạn tạo nên một bản Parody có sử dụng đoạn Video đó|Bạn tạo ra một quảng cáo chính trị có sử dụng đoạn Video đó.,Bạn tạo ra một quảng cáo chính trị có sử dụng đoạn Video đó.,"Sử dụng cho tin tức, giáo dục hoặc parody hài hước thường nằm trong phạm vi Sử dụng hợp lý (Fair Use); sử dụng cho quảng cáo chính trị hoặc thương mại khi chưa xin phép bản quyền là hành vi bất hợp pháp.",
5,single,"Tùy chọn quyền riêng tư nào của Facebook cho phép người dùng chia sẻ thông tin với tất cả bạn bè của họ, ngoại trừ một số lựa chọn?",Specific friends|Public|Only me|Friends except|Friends,Friends except,"Tùy chọn 'Friends except...' (Bạn bè ngoại trừ...) cho phép bài viết hiển thị cho toàn bộ danh sách bạn bè, trừ một số người cụ thể mà bạn đã loại trừ.",
6,single,Một trong những hành động quan trọng nhất mà bạn có thể thực hiện để bảo vệ quyền riêng tư của mình sau khi duyệt Internet là gì?,Sử dụng cùng một thông tin đăng nhập và mật khẩu cho nhiều trang Web|Hãy đăng nhập vào trang Web cuối cùng bạn truy cập|Sử dụng các trình duyệt khác nhau|Xóa Cookie trình duyệt của bạn,Xóa Cookie trình duyệt của bạn,"Xóa Cookie (Clear Cookies) loại bỏ các tệp theo dõi hành vi và phiên đăng nhập của bên thứ ba, ngăn chặn việc theo dõi người dùng sau khi lướt web.",
7,matrix,Một người bạn của bạn bị bắt nạt. Bạn ấy cần báo cáo hành vi bắt nạt với ai?,COLS: Cơ quan hành pháp | Khoa trong trường | Nhà cung cấp mạng xã hội /// ROWS: Kẻ bắt nạt đe dọa sẽ gây tổn thương thể chất tới bạn của bạn | Kẻ bắt nạt viết lời lăng mạ từ bài đăng trên mạng xã hội lên tủ khóa trong lớp thể dục của người bạn kia | Kẻ bắt nạt đăng hàng loạt lời lăng mạ bạn của bạn trên một tài khoản mạng xã hội bị tấn công,Kẻ bắt nạt đe dọa sẽ gây tổn thương thể chất tới bạn của bạn: Cơ quan hành pháp | Kẻ bắt nạt viết lời lăng mạ từ bài đăng trên mạng xã hội lên tủ khóa trong lớp thể dục của người bạn kia: Khoa trong trường | Kẻ bắt nạt đăng hàng loạt lời lăng mạ bạn của bạn trên một tài khoản mạng xã hội bị tấn công: Nhà cung cấp mạng xã hội,Đe dọa bạo lực thể chất cần báo ngay Công an/Cơ quan hành pháp; hành vi phá hoại tài sản/tủ khóa trường học báo Ban giám hiệu/Khoa trong trường; hành vi bôi nhọ qua tài khoản mạng bị hack báo nhà cung cấp mạng xã hội xử lý.,
8,multiple,"Bạn đang thực hiện một nghiên cứu trên nền tảng trực tuyến, Bạn thấy một loạt các Video có vẻ hỗ trợ giả thuyết của mình. Bạn cần xác định xem liệu Video có bị chỉnh sửa hay không để thay đổi thông điệp ban đầu. Hai phương pháp chỉnh sửa âm thanh nào cho biết rằng Video đã được chỉnh sửa để thay đổi thông điệp? (Chọn 2)",Phụ đề đã được thêm vào âm thanh gốc|Giọng thuyết minh giới thiệu người quay phim đã được thêm vào cuối Video|Từ ngữ được sắp xếp lại hoặc thêm vào|Âm thanh gốc đã được thay thế bằng nhạc,Từ ngữ được sắp xếp lại hoặc thêm vào|Âm thanh gốc đã được thay thế bằng nhạc,"Cắt ghép đảo lộn trật tự từ ngữ của người nói hoặc chèn nhạc đè lên âm thanh gốc là các dấu hiệu thao túng, bóp méo nội dung thực tế của video.",
9,multiple,Hành động nào sau đây có thể xâm phạm đến quyền riêng tư trực tuyến của bạn? (Chọn 3),Sử dụng cùng một thông tin đăng nhập và mật khẩu cho nhiều tài khoản|Luôn đăng nhập vào các trang Web (mà không đăng xuất)|Mở tập tin đính kèm Email|Đăng bài trong một diễn đàn|Cho phép và giữ Cookie của trình duyệt|Tải tập,Sử dụng cùng một thông tin đăng nhập và mật khẩu cho nhiều tài khoản|Luôn đăng nhập vào các trang Web (mà không đăng xuất)|Cho phép và giữ Cookie của trình duyệt,"Dùng chung mật khẩu, duy trì đăng nhập liên tục trên thiết bị và lưu trữ toàn bộ cookie theo dõi là các nguy cơ lớn nhất dẫn đến rò rỉ dữ liệu riêng tư.",
10,multiple,Những tình huống nào sẽ làm mất tính riêng tư của bạn khi cho phép nhà tuyển dụng hoặc quản trị viên ở trường học có thể xem được Email của bạn? (Chọn 3),Gửi Email từ máy tính làm việc bằng tài khoản làm việc|Gửi Email từ máy tính ở cơ quan bằng tài khoản của trường|Gửi Email từ điện thoại thông minh bằng tài khoản làm việc|Gửi Email từ máy tính làm việc bằng tài khoản cá nhân|Gửi Email từ máy tính của trường bằng tài khoản cá nhân,Gửi Email từ máy tính làm việc bằng tài khoản làm việc|Gửi Email từ máy tính ở cơ quan bằng tài khoản của trường|Gửi Email từ điện thoại thông minh bằng tài khoản làm việc,"Bất cứ khi nào bạn sử dụng tài khoản do công ty cấp hoặc sử dụng thiết bị/mạng công ty, quản trị viên đều có quyền giám sát và xem lưu lượng email nội bộ.",
