id,type,question,options,correct_answers,explanation,image
1,multiple,Bạn đang chuẩn bị một bài thuyết trình về quá trình tăng dân số ở thành phố của bạn qua nhiều năm. Bạn cần trình bày hiệu quả sự gia tăng dân số theo thời gian. Hình thức hiển thị trực quan nào sau đây là hiệu quả nhất? (Chọn 2),Biểu đồ thanh (Bar Chart)|Biểu đồ đường (Line Chart)|Biểu đồ tròn (Pie Chart)|Biểu đồ dạng bản đồ (Map),Biểu đồ thanh (Bar Chart)|Biểu đồ đường (Line Chart),Biểu đồ đường và biểu đồ thanh là hai hình thức trực quan hóa biến thiên dữ liệu theo trục thời gian chuẩn mực nhất.,
2,matrix,Một nhóm sinh viên đại học đang tạo nội dung cho một trang Web. Người hướng dẫn của họ đã khuyên họ điều quan trọng là họ phải tuân theo các tiêu chuẩn trợ năng để sử dụng phông chữ. Chọn Đúng nếu hành động được nêu tuân theo các tiêu chuẩn trợ năng hoặc Sai nếu không được tuân theo.,COLS: Đúng | Sai /// ROWS: Nên sử dụng phông chữ Serif vì chúng dễ đọc nhất trên mạng | Kích thước phông chữ nội dung văn bản phải từ 15-25px | Độ dài tối ưu của một dòng văn bản là 45-90 kí tự. Chiều rộng lý tưởng là 66 kí tự | Khoảng trắng giữa tiêu đề và nội dung văn bản nằm trong khoảng 15-30px,Nên sử dụng phông chữ Serif vì chúng dễ đọc nhất trên mạng: Sai | Kích thước phông chữ nội dung văn bản phải từ 15-25px: Đúng | Độ dài tối ưu của một dòng văn bản là 45-90 kí tự. Chiều rộng lý tưởng là 66 kí tự: Đúng | Khoảng trắng giữa tiêu đề và nội dung văn bản nằm trong khoảng 15-30px: Đúng,"Phông chữ Sans-serif mới là phông dễ đọc nhất trên web (không phải Serif); các thông số kích thước 15-25px, độ dài dòng 66 ký tự và khoảng cách 15-30px đều đạt chuẩn tiếp cận.",
3,matrix,"Bạn đang tạo một trang Web dễ dàng tiếp cận. Bạn cần xác định các tiêu chuẩn thực tiễn tốt nhất giúp người khiếm thị có thể truy cập trang Web. Với mỗi hành động thiết kế sau đây, hãy chọn Có nếu đó là một tiêu chuẩn thực tiễn tốt nhất. Ngược lại, hãy chọn Không.",COLS: Có | Không /// ROWS: Sử dụng màu sắc tương phản | Sử dụng hoạ tiết (Texture) để thể hiện độ tương phản | Sử dụng màu sắc để truyền tải thông tin | Sử dụng bảng màu đơn sắc,Sử dụng màu sắc tương phản: Có | Sử dụng hoạ tiết (Texture) để thể hiện độ tương phản: Có | Sử dụng màu sắc để truyền tải thông tin: Không | Sử dụng bảng màu đơn sắc: Không,Tiêu chuẩn tiếp cận cấm việc dùng màu sắc làm phương thức duy nhất để truyền tải thông điệp; kết hợp màu tương phản và chất liệu hoa văn là giải pháp tốt nhất.,
4,single,Độ tương phản màu ảnh hưởng đến người khiếm thị như thế nào?,Tăng độ tương phản giữa một đối tượng và nền của đối tượng đó làm cho đối tượng dễ nhìn thấy hơn|Độ tương phản màu không ảnh hưởng đến khiếm thị|Tăng độ tương phản giữa một đối tượng và nền của đối tượng đó làm cho đối tượng ít nhìn thấy hơn|Cung cấp nhiều màu sắc giúp người khiếm thị tập trung dễ dàng hơn,Tăng độ tương phản giữa một đối tượng và nền của đối tượng đó làm cho đối tượng dễ nhìn thấy hơn,"Độ tương phản cao giữa đối tượng và nền giúp các đường nét tách biệt rõ ràng, hỗ trợ mắt nhận diện vật thể dễ hơn.",
5,matrix,"Khi chọn cách tốt nhất để phân phối thông tin, bạn nên xem xét đối tượng và hình thức truyền thông có sẵn. Đối với mỗi tuyên bố, hãy sắp xếp chúng theo cách liệu nó có thể hiện hình thức giao tiếp tốt nhất cho khán giả hay không",COLS: Hình thức giao tiếp tốt nhất | Không phải là hình thức giao tiếp tốt nhất /// ROWS: Một giám đốc tiếp thị chọn Video để giới thiệu cho người dùng sự dễ dàng khi vận hành một máy may mới | Một người hướng dẫn thiền tạo Podcast âm thanh cho những người muốn học các phương pháp của cô ấy | Tác giả của một bản tin dựa trên đăng ký hàng tuần về các lựa chọn của thị trường chứng khoán quyết định đăng thông tin cho công chúng trên phương tiện truyền thông xã hội,Một giám đốc tiếp thị chọn Video để giới thiệu cho người dùng sự dễ dàng khi vận hành một máy may mới: Hình thức giao tiếp tốt nhất | Một người hướng dẫn thiền tạo Podcast âm thanh cho những người muốn học các phương pháp của cô ấy: Hình thức giao tiếp tốt nhất | Tác giả của một bản tin dựa trên đăng ký hàng tuần về các lựa chọn của thị trường chứng khoán quyết định đăng thông tin cho công chúng trên phương tiện truyền thông xã hội: Không phải là hình thức giao tiếp tốt nhất,Bản tin trả phí độc quyền cho thuê bao mà đăng công khai lên mạng xã hội là sai kênh phân phối và vi phạm mô hình kinh doanh.,
6,single,Các cá nhân nên làm gì để tạo ra một cộng đồng học tập và hiểu biết an toàn?,Bỏ qua các ý kiến khác nhau|Lắng nghe ý kiến của người khác|Gửi những thông điệp gây tổn thương cho những người không đồng ý về một chủ đề|Chỉ giao tiếp với những người cùng chí hướng,Lắng nghe ý kiến của người khác,Lắng nghe và tôn trọng các góc nhìn đa chiều của người khác là nền tảng để xây dựng môi trường học thuật văn minh và an toàn.,
7,multiple,Người ta có thể làm gì để hiểu rõ nhất và thu hút đối tượng mục tiêu của họ? (Chọn 2),Tìm hiểu về nhân khẩu học của họ|Nghiên cứu các đối tượng khác|Tìm hiểu về sở thích của họ|Bán thông tin của họ cho người mua bên thứ ba|Xác định giá trị của họ,Tìm hiểu về nhân khẩu học của họ|Tìm hiểu về sở thích của họ,"Phân tích đặc điểm nhân khẩu học (Demographics - tuổi tác, nghề nghiệp) và sở thích giúp tùy biến nội dung tiếp cận trúng nhu cầu của đối tượng mục tiêu.",
8,single,"Máy tính xách tay sử dụng hệ điều hành Windows 10 của bạn đã được cài đặt một số ứng dụng giao tiếp, bao gồm Mozilla FireFox và Zoom Meetings. Bạn muốn tất cả các ứng dụng sử dụng âm lượng tối đa khi phát âm thanh. Bạn có thể cấu hình lượng âm thanh mặc định được sử dụng cho tất cả các ứng dụng ở đâu?",Advanced Sound Options|Apps|System > Sound > Device Properties|Video Playback,Advanced Sound Options,Mục Advanced sound options (App volume and device preferences) trong Windows 10 cho phép cài đặt mức âm lượng riêng biệt cho từng ứng dụng.,
9,single,Đối tượng nào sau đây có thể hiểu rõ nhất về chữ viết tắt của Textspeak và GIF?,Cá nhân không có điện thoại thông minh|Trẻ nhỏ|Thanh niên hiểu biết về công nghệ|Thế hệ người cao tuổi,Thanh niên hiểu biết về công nghệ,"Giới trẻ am hiểu công nghệ là đối tượng sử dụng và tiếp nhận thành thạo nhất ngôn ngữ mạng (Textspeak, từ viết tắt) và ảnh động GIF.",
10,multiple,Tuỳ chọn nào sau đây có thể gây ra sự mơ hồ trong giao tiếp bằng văn bản? (Chọn 3),Chính tả kém|Ngữ pháp kém|Dấu câu kém|Những tín hiệu phi ngôn ngữ không thể phủ nhận|Hướng dẫn rõ ràng,Chính tả kém|Ngữ pháp kém|Dấu câu kém,"Sai chính tả, đặt dấu câu bừa bãi và sai ngữ pháp khiến câu văn trở nên tối nghĩa, gây hiểu lầm trong giao tiếp văn bản.",
