id,type,question,options,correct_answers,explanation,image
1,multiple,"Em hãy cho biết, tuỳ chọn nào sau đây là ví dụ về phần mềm năng suất? (Chọn 2)",Apple Store|iHome|Google Workspace|Google Play|Microsoft Office,Google Workspace|Microsoft Office,"Phần mềm năng suất (Productivity software) là các bộ ứng dụng văn phòng phục vụ soạn thảo, tính toán và thuyết trình như Microsoft Office và Google Workspace.",
2,single,"Khi trình bày trong môi trường ảo với khán giả, người dùng nên làm gì?","Sử dụng GIF, biểu tượng cảm xúc và từ viết tắt trong bản trình chiếu|Đọc to từng trang trình chiếu|Khuyến khích tương tác từ tác giả|Bao gồm âm nhạc lớn trong bản trình chiếu",Khuyến khích tương tác từ tác giả,"Trong môi trường thuyết trình trực tuyến, việc chủ động tương tác với người nghe/người tham dự giúp buổi thuyết trình sinh động và duy trì sự chú ý.",
3,single,Người dùng nên tự hỏi điều gì về tin nhắn của họ trước khi nó được gửi đi?,Có bao nhiêu biểu tượng cảm xúc trong tin nhắn?|Tin nhắn có hài hước không?|Người nhận sẽ nhận thấy những từ sai chính tả?|Người nhận có thể hiểu sai thông điệp không?,Người nhận có thể hiểu sai thông điệp không?,"Trước khi gửi tin nhắn, cần tự rà soát xem câu chữ có rõ ràng và có nguy cơ khiến người nhận hiểu nhầm thông điệp muốn truyền đạt hay không.",
4,multiple,Những cách nào sau đây để một công ty có thể chuyển tiếp thông tin kĩ thuật số đến khách hàng của họ? (Chọn 3),Video Conferencing|Instant Messaging|Email|Mail|Phone Call,Video Conferencing|Instant Messaging|Email,"Hội nghị truyền hình (Video Conferencing), tin nhắn tức thời (Instant Messaging) và Email là các phương thức chuyển tiếp thông tin số hóa qua mạng Internet.",
5,multiple,Điều nào nên tránh trong giao tiếp chuyên nghiệp? (Chọn 3),Các từ viết tắt|Sử dụng phần mềm chuyển lời nói thành văn bản|Đúng chính tả|Đúng ngữ pháp|Biểu tượng cảm xúc,Các từ viết tắt|Sử dụng phần mềm chuyển lời nói thành văn bản|Biểu tượng cảm xúc,"Trong môi trường công việc chuyên nghiệp, cần tránh dùng tiếng lóng/viết tắt, biểu tượng cảm xúc (emoji) thiếu nghiêm túc và phần mềm nhận diện giọng nói dễ gây sai lệch từ ngữ.",
6,matrix,Xác định loại biểu đồ thích hợp với dữ liệu được mô tả. Hoàn thành các câu bằng cách chọn tuỳ chọn đúng với mỗi danh sách thả xuống.,"COLS: Column Chart | Line Chart | Pie Chart /// ROWS: ............. sẽ là cách tốt nhất để minh hoạ các mối quan hệ đơn giản từ một phần đến toàn bộ trong một tập dữ liệu nhỏ | Cho biết một hoặc nhiều chuỗi dữ liệu thay đổi như thế nào theo thời gian, bạn nên sử dụng | Hiển thị khối lượng bán hàng của các sản phẩm khác nhau được minh hoạ tốt nhất bằng","............. sẽ là cách tốt nhất để minh hoạ các mối quan hệ đơn giản từ một phần đến toàn bộ trong một tập dữ liệu nhỏ: Pie Chart | Cho biết một hoặc nhiều chuỗi dữ liệu thay đổi như thế nào theo thời gian, bạn nên sử dụng: Line Chart | Hiển thị khối lượng bán hàng của các sản phẩm khác nhau được minh hoạ tốt nhất bằng: Column Chart",Pie Chart minh họa tỷ lệ phần trăm trên tổng thể; Line Chart theo dõi xu hướng biến thiên theo thời gian; Column Chart so sánh định lượng giữa các danh mục.,
7,multiple,Bạn đang chuẩn bị một bài thuyết trình về quá trình tăng dân số ở thành phố của bạn qua nhiều năm. Bạn cần thể hiện sự gia tăng dân số theo thời gian một cách hiệu quả. Tuỳ chọn nào sau đây là hình thức trình bày trực quan hiệu quả nhất? (Chọn 2),Biểu đồ tròn|Biểu đồ thanh|Biểu đồ đường|Sơ đồ,Biểu đồ thanh|Biểu đồ đường,Biểu đồ đường (Line Chart) và biểu đồ thanh/cột (Bar/Column Chart) là hai công cụ trực quan hóa biến động và xu hướng tăng trưởng theo thời gian tối ưu nhất.,
8,single,Bạn cần tạo một loạt các sơ đồ tổ chức. Phần mềm kinh doanh nào sẽ giúp bạn nhanh chóng đưa ra các sơ đồ phân cấp?,Intuit QuickBooks|Microsoft Excel|Microsoft PowerPoint|Adobe Illustrator,Microsoft PowerPoint,Tính năng SmartArt trong PowerPoint cung cấp sẵn nhiều mẫu sơ đồ cơ cấu tổ chức phân cấp (Hierarchy/Org Chart) nhanh chóng và trực quan.,
9,matrix,Bạn đang soạn một sơ đồ để đi kèm với một tập hợp các hướng dẫn. Tham khảo hình ảnh bên dưới và hoàn thành các câu bằng cách kéo từng khối hình từ cột bên phải sang chức năng của nó ở cột bên trái.,"COLS: Hình chữ nhật | Hình thoi | Hình bầu dục | Hình bình hành /// ROWS: Các quy trình trong một sơ đồ | Một quyết định (Decision) như ""Có"" so với ""Không"" hoặc ""Đúng"" so với ""Sai"" | Đánh dấu phần đầu và phần cuối của một sơ đồ | Được sử dụng để biểu diễn Đầu vào (Input) hoặc Đầu ra (Output)","Các quy trình trong một sơ đồ: Hình chữ nhật | Một quyết định (Decision) như ""Có"" so với ""Không"" hoặc ""Đúng"" so với ""Sai"": Hình thoi | Đánh dấu phần đầu và phần cuối của một sơ đồ: Hình bầu dục | Được sử dụng để biểu diễn Đầu vào (Input) hoặc Đầu ra (Output): Hình bình hành",Quy ước lưu đồ chuẩn: Hình bầu dục/oval bắt đầu-kết thúc; hình chữ nhật biểu thị quy trình/thao tác; hình thoi rẽ nhánh điều kiện; hình bình hành nhập/xuất dữ liệu.,
10,multiple,Công cụ phần mềm nào sau đây sẽ tốt nhất để tạo ra biểu đồ trực quan trong kinh doanh? (Chọn 2),Adobe Illustrator|Microsoft Excel|Google Sheets|Intuit QuickBooks|Affinity Designer,Microsoft Excel|Google Sheets,Microsoft Excel và Google Sheets là hai phần mềm bảng tính tiêu chuẩn tốt nhất để phân tích dữ liệu và tự động tạo biểu đồ trực quan trong kinh doanh.,
