id,type,question,options,correct_answers,explanation,image
1,matrix,"Bạn đã được một công ty phát triển trò chơi máy tính thuê để kiểm tra phần mềm trò chơi tại cơ sở của họ. Công ty có chính sách chống lại việc sử dụng các thiết bị truyền thông không đáng tin cậy. Đối với mỗi tuyên bố, hãy chọn Đúng nếu đó là thiết bị truyền thông không đáng tin cậy hoặc Sai nếu không phải.",COLS: Đúng | Sai /// ROWS: Một ổ USB nhỏ bạn mang theo từ nhà | Một ổ USB được công ty cung cấp cho bạn để không bao giờ rời khỏi cơ sở | Máy tính bảng cá nhân của bạn,Một ổ USB nhỏ bạn mang theo từ nhà: Đúng | Một ổ USB được công ty cung cấp cho bạn để không bao giờ rời khỏi cơ sở: Sai | Máy tính bảng cá nhân của bạn: Đúng,"Các thiết bị cá nhân (USB từ nhà, máy tính bảng cá nhân) không được kiểm duyệt bảo mật bởi công ty nên là thiết bị không đáng tin cậy (Untrusted devices); thiết bị do công ty cấp và quản lý nội bộ được coi là đáng tin cậy."
2,single,Bạn quay lại cảnh một người bạn đang thực hiện một điệu nhảy ngớ ngẩn trong bữa tiệc. Bạn muốn chia sẻ video này với những người bạn chung. Bạn cần xác định cách thức chia sẻ video theo đúng các chuẩn mực đạo đức trong môi trường số. Bạn nên làm gì?,"Chia sẻ video lên mạng xã hội và đặt ở chế độ công khai|Chia sẻ video lên mạng xã hội, cài đặt bảo mật chỉ cho phép bạn bè của bạn xem video đó|Chỉ gửi video cho những người đã tham dự bữa tiệc và yêu cầu họ không chia sẻ video đó với bất kỳ ai khác|Gửi trực tiếp video cho người bạn nhảy nhót kia và bảo họ chia sẻ video đó với những người khác",Gửi trực tiếp video cho người bạn nhảy nhót kia và bảo họ chia sẻ video đó với những người khác,"Theo chuẩn mực đạo đức và quyền riêng tư kỹ thuật số, bạn cần gửi trực tiếp video cho chính người xuất hiện trong clip để họ toàn quyền quyết định xem có muốn chia sẻ cho người khác hay không."
3,multiple,Lớp của bạn đang học cách sử dụng một ứng dụng phần mềm mới. Mỗi học sinh được phân công sử dụng thành thạo một tính năng khác nhau của ứng dụng. Đâu là hai cách mà học sinh có thể cải thiện khả năng sử dụng các tính năng được phân công? (Chọn 2),Tham khảo tài nguyên Trợ giúp của ứng dụng|Đọc đánh giá trực tuyến về ứng dụng|Hướng dẫn người khác sử dụng tính năng đó|Tham gia kỳ thi cấp chứng chỉ,Tham khảo tài nguyên Trợ giúp của ứng dụng|Hướng dẫn người khác sử dụng tính năng đó,"Đọc tài liệu Hướng dẫn/Trợ giúp (Help documentation) giúp hiểu sâu chức năng, và giảng dạy/hướng dẫn lại cho người khác là phương pháp ghi nhớ và làm chủ kiến thức hiệu quả nhất."
4,multiple,Những nghi thức nào được coi là đúng cho một cuộc họp trực tuyến? (Chọn 2),Trang phục phù hợp|Kiểm tra email miễn là nó ở ngoài máy ảnh|Tắt tiếng micrô khi cần thiết|Làm việc trên các dự án khác,Trang phục phù hợp|Tắt tiếng micrô khi cần thiết,Mặc trang phục lịch sự và tắt tiếng micrô (Mute) khi không phát biểu để tránh tiếng ồn xung quanh là hai chuẩn mực văn hóa ứng xử trực tuyến (Netiquette) bắt buộc.
5,matrix,"Một học sinh cấp hai tham gia cộng đồng mạng xã hội gồm những người có cùng sở thích với mình. Với mỗi câu phát biểu, hãy chọn Có nếu đây là cách phù hợp để tương tác với cộng đồng trực tuyến hoặc Không nếu không phù hợp.","COLS: Có | Không /// ROWS: Hy vọng các thành viên khác trong cộng đồng coi thông tin cậu ấy chia sẻ là riêng tư | Giới thiệu bản thân với các thành viên cộng đồng và cung cấp địa chỉ email cá nhân của cậu ấy | Trả lời bình luận trên một chuỗi chủ đề nói rằng mình không đồng ý, sử dụng giọng điệu tôn trọng | Chia sẻ bình luận từ cộng đồng với một nhóm khác mà không nói rõ ai đã đưa ra bình luận đó","Hy vọng các thành viên khác trong cộng đồng coi thông tin cậu ấy chia sẻ là riêng tư: Không | Giới thiệu bản thân với các thành viên cộng đồng và cung cấp địa chỉ email cá nhân của cậu ấy: Không | Trả lời bình luận trên một chuỗi chủ đề nói rằng mình không đồng ý, sử dụng giọng điệu tôn trọng: Có | Chia sẻ bình luận từ cộng đồng với một nhóm khác mà không nói rõ ai đã đưa ra bình luận đó: Không","Môi trường mạng không đảm bảo tính riêng tư tuyệt đối, do đó không nên để lộ thông tin liên lạc cá nhân (email); khi tranh luận cần giữ thái độ văn minh tôn trọng; không tự ý phát tán lời nói của người khác mà không dẫn nguồn hoặc chưa xin phép."
6,multiple,Hai khía cạnh nào của sự hiện diện trực tuyến của một người đóng góp vào danh tính kỹ thuật số nghề nghiệp của người đó? (Chọn 2),Tài khoản LinkedIn|Ngày sinh|Trang web công ty|Trang Facebook,Tài khoản LinkedIn|Trang web công ty,Hồ sơ nghề nghiệp LinkedIn và trang web công ty/portfolio đại diện cho năng lực và danh tính công việc chính thức; Facebook thường thiên về đời sống xã hội cá nhân.
7,multiple,Bạn đang sử dụng các tài khoản mạng xã hội cho mục đích cá nhân và công việc. Bạn nên đăng tải hai nội dung nào lên tài khoản mạng xã hội vào mục đích công việc của mình? (Chọn 2),Khiếu nại về đồng nghiệp hiện tại|Hình ảnh gia đình của bạn đang chơi trò chơi|Chứng nhận kỹ thuật mà bạn có|Ảnh hồ sơ chính thức của bạn,Chứng nhận kỹ thuật mà bạn có|Ảnh hồ sơ chính thức của bạn,"Trang mạng xã hội phục vụ công việc cần đăng ảnh đại diện nghiêm túc, chuyên nghiệp và các bằng cấp/chứng chỉ chuyên môn để tạo uy tín với đối tác và nhà tuyển dụng."
8,multiple,Bạn đang nộp đơn xin việc trong lĩnh vực nghề nghiệp đã chọn. Nhà tuyển dụng tiềm năng sẽ truy cập hồ sơ công việc trực tuyến của bạn. Bạn cần làm gì để hỗ trợ hồ sơ công việc trực tuyến của mình? (Chọn 2),Cung cấp thông tin về các hoạt động cá nhân để minh chứng cho sự cân bằng của mình|Cung cấp thông tin về lịch sử tiền lương và kỳ vọng của bạn|Cập nhật hồ sơ thường xuyên để giới thiệu các kỹ năng của bạn|Hạn chế quyền truy cập vào hồ sơ để duy trì quyền riêng tư,Cung cấp thông tin về các hoạt động cá nhân để minh chứng cho sự cân bằng của mình|Cập nhật hồ sơ thường xuyên để giới thiệu các kỹ năng của bạn,Nhà tuyển dụng đánh giá cao ứng viên thường xuyên cập nhật kỹ năng chuyên môn mới và có các hoạt động ngoại khóa/sở thích lành mạnh phản ánh sự cân bằng trong cuộc sống.
9,multiple,Xác định hai cách để phân biệt danh tính kỹ thuật số cá nhân của bạn với danh tính kỹ thuật số nghề nghiệp của bạn? (Chọn 2),"Tạo biệt hiệu hoặc bí danh cho các bài đăng trên các diễn đàn và blog giải trí, nhưng sử dụng tên thật của bạn cho các bài đăng trong các diễn đàn và blog kỹ thuật|Sử dụng LinkedIn cho các mục đích nghề nghiệp và Facebook cho các bài đăng cá nhân|Không bao giờ đăng ảnh|Chỉ theo dõi các chính trị gia, vận động viên chuyên nghiệp và người nổi tiếng trên Twitter","Tạo biệt hiệu hoặc bí danh cho các bài đăng trên các diễn đàn và blog giải trí, nhưng sử dụng tên thật của bạn cho các bài đăng trong các diễn đàn và blog kỹ thuật|Sử dụng LinkedIn cho các mục đích nghề nghiệp và Facebook cho các bài đăng cá nhân","Tách bạch rõ nền tảng (LinkedIn cho công việc, Facebook cho cá nhân) và dùng bút danh/biệt hiệu khi tham gia giải trí giúp bảo vệ hình ảnh chuyên nghiệp của bản thân."
10,single,"Bạn hãy cho biết, nhận định sau đây là đúng hay sai: ""Tài khoản ngân hàng trực tuyến là một phần của nhận dạng kĩ thuật số""",Đúng|Sai,Đúng,"Nhận dạng kỹ thuật số (Digital Identity) bao gồm tất cả dữ liệu định danh một cá nhân trên không gian mạng, bao gồm thông tin tài chính và tài khoản ngân hàng trực tuyến."
