id,type,question,options,correct_answers,explanation,image
1,multiple,Hai nhận định nào là đúng về một người nhạy cảm với sự đa dạng văn hoá? (Chọn 2),Người ta nên xem liệu có cần thông dịch viên cho cuộc họp giữa các bên với nhiều ngôn ngữ mẹ đẻ hay không|Tất cả các nền văn hoá đều cảm thấy thoải mái với hội nghị truyền hình|Người ta nên nghiên cứu các chuẩn mực văn hoá cho các khách hàng quốc tế mà họ sẽ gặp|Giao tiếp đồng bộ có thể tốt hơn một cuộc họp trực tuyến,Người ta nên xem liệu có cần thông dịch viên cho cuộc họp giữa các bên với nhiều ngôn ngữ mẹ đẻ hay không|Người ta nên nghiên cứu các chuẩn mực văn hoá cho các khách hàng quốc tế mà họ sẽ gặp,Sự nhạy cảm về văn hóa thể hiện qua việc chủ động tìm hiểu phong tục/chuẩn mực của đối tác và chuẩn bị các phương án hỗ trợ ngôn ngữ (thông dịch viên) khi rào cản ngôn ngữ xuất hiện.
2,multiple,Ai đó trên trang mạng xã hội yêu thích của bạn vừa đăng thông tin không chính xác về một sự kiện lịch sử của Mỹ. Bạn quyết định trả lời bài viết. Hai câu trả lời nào tuân theo Netiquette kỹ thuật số? (Chọn 2),"""Bạn đã đọc nghiên cứu về sự kiện này do Hiệp hội Lịch sử Hoa Kỳ xuất bản chưa? Góc nhìn của họ thật thú vị""|""THÔNG TIN SAI LẦM! HÃY NHẬN THẤY SỰ THẬT CỦA BẠN TRƯỚC KHI ĐĂNG!""|""Nhiều học giả không đồng ý. Đây là một liên kết với một số sự kiện đối lập về cùng một sự kiện lịch sử này""|""Chỉ có những kẻ khờ mới tin vào quan điểm này. Rõ ràng là bạn đã không thực hiện bất kỳ nghiên cứu nào trước khi đăng!""","""Bạn đã đọc nghiên cứu về sự kiện này do Hiệp hội Lịch sử Hoa Kỳ xuất bản chưa? Góc nhìn của họ thật thú vị""|""Nhiều học giả không đồng ý. Đây là một liên kết với một số sự kiện đối lập về cùng một sự kiện lịch sử này""","Quy tắc ứng xử mạng (Netiquette) đòi hỏi giao tiếp nhã nhặn, tôn trọng đối phương, dẫn chứng nguồn tài liệu uy tín thay vì dùng lời lẽ miệt thị hoặc viết hoa toàn bộ gây cảm giác la hét."
3,matrix,"Đối với mỗi tuyên bố về hành vi, hãy chọn Đúng nếu nó hiển thị mức độ nhạy cảm với sự đa dạng văn hoá hoặc Sai nếu không",COLS: Đúng | Sai /// ROWS: Chú ý đến những định kiến và thành kiến của chính bạn | Đặt câu hỏi thay vì đưa ra giả định | Mua một bộ phận quần áo thiêng liêng được mặc bởi một nền văn hoá khác và mặc nó để thể hiện rằng bạn muốn trở thành bạn của nhau | Đăng nhiều câu chuyện về một nền văn hoá khác trên các trang mạng xã hội của bạn,Chú ý đến những định kiến và thành kiến của chính bạn: Đúng | Đặt câu hỏi thay vì đưa ra giả định: Đúng | Mua một bộ phận quần áo thiêng liêng được mặc bởi một nền văn hoá khác và mặc nó để thể hiện rằng bạn muốn trở thành bạn của nhau: Sai | Đăng nhiều câu chuyện về một nền văn hoá khác trên các trang mạng xã hội của bạn: Sai,"Nhận thức được định kiến cá nhân và cởi mở học hỏi bằng câu hỏi thể hiện sự tôn trọng; việc sử dụng tùy tiện trang phục tôn giáo/thiêng liêng là hành vi chiếm dụng văn hóa (cultural appropriation), thiếu chuẩn mực."
4,multiple,"Bạn lãnh đạo một nhóm gồm những người thuộc các nền văn hoá, giới tính và độ tuổi khác nhau. Bạn dự định tổ chức một cuộc họp từ xa bằng công cụ hội thảo video để lên ý tưởng cho một dự án mới. Bạn cần tuân thủ các chuẩn mực đạo Đức trong môi trường số. Bạn nên thực hiện hai hành động nào sau đây? (Chọn 2)",Đề nghị hỗ trợ riêng cho một thành viên trong nhóm không có kinh nghiệm tham dự hội thảo video nhằm giúp họ làm quen với chức năng điều khiển trước cuộc họp|Đảm bảo sự tập trung và tránh xung đột trong nhóm bằng cách chỉ thảo luận các ý tưởng có trong danh sách riêng của bạn|Sử dụng các tính năng như Giơ tay (Raise Hand) để tạo cơ hội cho tất cả các thành viên trong nhóm tham gia|Yêu cầu một thành viên nói giọng không chuẩn bản ngữ (Có âm giọng nặng) trả lời qua hộp trò chuyện để các thành viên còn lại trong nhóm có thể hiểu rõ,Đề nghị hỗ trợ riêng cho một thành viên trong nhóm không có kinh nghiệm tham dự hội thảo video nhằm giúp họ làm quen với chức năng điều khiển trước cuộc họp|Sử dụng các tính năng như Giơ tay (Raise Hand) để tạo cơ hội cho tất cả các thành viên trong nhóm tham gia,"Hỗ trợ thành viên yếu công nghệ trước buổi họp và dùng tính năng 'Giơ tay' giúp buổi thảo luận dân chủ, bình đẳng và mọi người đều có cơ hội đóng góp ý kiến."
5,single,Bạn đang cộng tác trực tuyến với các bạn cùng lớp để phê bình các bài thuyết trình PowerPoint của nhau về một chủ đề. Điều nào sau đây thể hiện phép xã giao kỹ thuật số tốt?,Giễu cợt học sinh về lỗi|Sửa lỗi bằng lời giải thích và giọng điệu tích cực|Đề nghị tác giả thay đổi màu sắc cho mục yêu thích của bạn|Cung cấp nhận xét về mọi trang trình bày,Sửa lỗi bằng lời giải thích và giọng điệu tích cực,Đóng góp mang tính xây dựng với thái độ tích cực và giải thích rõ lý do giúp người được nhận xét hoàn thiện bài tập tốt hơn mà không bị tổn thương.
6,matrix,"Một người bạn vừa tham gia mạng xã hội. Bài đăng đầu tiên của cô ấy là một bức ảnh cũ và đáng xấu hổ của bạn. Cô ấy đã không hỏi ý kiến của bạn trước. Bạn cần phải trả lời theo các chuẩn mực đạo đức thích hợp trong môi trường số. Với mỗi câu phát biểu, hãy chọn Có nếu đó có thể là một phần phản hồi của bạn với bài đăng nói trên là phù hợp hoặc Không nếu không phải.","COLS: Có | Không /// ROWS: ""XOÁ NGAY ĐI!!!"" | ""Mình sẽ đăng bức ảnh đáng xấu hổ của bạn"" | ""Làm ơn đừng đăng hình của mình khi chưa hỏi ý kiến""","""XOÁ NGAY ĐI!!!"": Không | ""Mình sẽ đăng bức ảnh đáng xấu hổ của bạn"": Không | ""Làm ơn đừng đăng hình của mình khi chưa hỏi ý kiến"": Có","Phản hồi văn minh cần giữ bình tĩnh, lịch sự nêu rõ ranh giới cá nhân ('Làm ơn đừng đăng hình của mình khi chưa hỏi ý kiến') thay vì đe dọa trả đũa hoặc dùng câu lệnh giận dữ."
7,matrix,"Giáo viên của bạn đã sắp xếp một chuyến đi thực tế kỹ thuật số cho lớp khoa học của bạn để thăm một bể cá. Hướng dẫn viên là một nhà giáo dục tại thuỷ cung, người sẽ tổ chức một cuộc thảo luận trực tiếp với lớp của bạn trong suốt chuyến tham quan bằng cách sử dụng Zoom, Microsoft Teams hoặc một phần mềm hội nghị truyền hình tương tự. Bạn đã được giáo viên hướng dẫn cách thể hiện tốt các nghi thức kỹ thuật số trong chuyến tham quan. Đối với mỗi câu trả lời, hãy chọn Đúng nếu nó tuân thủ các nghi thức kỹ thuật số thích hợp hoặc Sai nếu không tuân thủ.","COLS: Đúng | Sai /// ROWS: Bật webcam của bạn và tập trung vào màn hình của bạn để người nói, bạn cùng lớp và giáo viên của bạn có thể thấy rằng bạn đang chú ý | Sử dụng biểu tượng ""Giơ tay"" (""Raise Hand"") khi thích hợp để đặt câu hỏi | Tắt tiếng micrô (Mute) của bạn và chỉ bật tiếng khi bạn được gọi để thảo luận | Luôn bật tiếng micrô của bạn để hướng dẫn viên có thể nghe thấy phản ứng của bạn với những gì họ đang nói","Bật webcam của bạn và tập trung vào màn hình của bạn để người nói, bạn cùng lớp và giáo viên của bạn có thể thấy rằng bạn đang chú ý: Đúng | Sử dụng biểu tượng ""Giơ tay"" (""Raise Hand"") khi thích hợp để đặt câu hỏi: Đúng | Tắt tiếng micrô (Mute) của bạn và chỉ bật tiếng khi bạn được gọi để thảo luận: Đúng | Luôn bật tiếng micrô của bạn để hướng dẫn viên có thể nghe thấy phản ứng của bạn với những gì họ đang nói: Sai","Bật camera thể hiện sự tập trung, giơ tay khi muốn phát biểu và tắt micro khi nghe để loại bỏ tạp âm là các quy chuẩn cơ bản trong lớp học trực tuyến."
8,multiple,"Bạn đang cân nhắc về nghề nghiệp tương lai trong ngành công nghệ thông tin (CNTT). Vào mùa hè trước năm cuối cùng của bậc trung học, bạn được mời thực tập không lương tại một Công ty Công nghệ địa phương. Tuỳ chọn nào sau đây là lý do để chấp nhận đợt thực tập này? (Chọn 2)",Để áp dụng những kiến thức CNTT của bạn vào môi trường chuyên nghiệp|Để dạy kỹ năng CNTT cho các nhân viên của công ty|Để học các kỹ năng CNTT mới|Để học cách giám sát các nhân viên CNTT khác,Để áp dụng những kiến thức CNTT của bạn vào môi trường chuyên nghiệp|Để học các kỹ năng CNTT mới,"Kỳ thực tập học sinh/sinh viên là cơ hội quý giá để cọ xát thực tế, vận dụng kiến thức sách vở vào môi trường làm việc và học hỏi thêm nhiều kỹ năng chuyên ngành từ người đi trước."
9,single,Bạn đang tham gia một diễn đàn trực tuyến để trả lời một người cho rằng đồng phục mới của một đội nên có màu đỏ. Bạn nghĩ rằng chúng nên có màu xanh lam. Phản ứng nào được coi là phản ứng tốt nhất?,"Tôi nghĩ đồng phục mới nên có màu xanh lam, nhưng tôi hiểu ý của bạn|Bạn cần một chuyên gia thời trang|Màu xanh lam tốt hơn màu đỏ|Bạn chỉ nên theo dõi đội","Tôi nghĩ đồng phục mới nên có màu xanh lam, nhưng tôi hiểu ý của bạn",Phản hồi này vừa bày tỏ quan điểm riêng một cách rõ ràng vừa thể hiện sự tôn trọng và đồng cảm đối với góc nhìn của người khác.
10,single,"Một nhóm bạn của bạn đang thảo luận về một diễn viên hài mà họ đã thấy trên TV, người đã tạo ra một ngọn núi lửa bằng cách sử dụng Mentos và Coke. Họ đang tranh luận về việc anh ấy đã làm như thế nào. Bạn và bạn bè của bạn quyết định yêu cầu giáo viên khoa học của bạn cho biết nó đã được thực hiện như thế nào. Sau nhiều lần thuyết phục, giáo viên đồng ý chứng minh điều này đã được thực hiện như thế nào trong giờ ăn trưa của mình. Bạn quay video cuộc thực nghiệm trên điện thoại thông minh của bạn. Bạn muốn chia sẻ video với các bạn cùng lớp của mình theo cách thể hiện phép xã giao kỹ thuật số tốt. Những gì bạn nên làm?",Cho giáo viên khoa học xem video và yêu cầu chia sẻ video đó với lớp của bạn|Gửi video cho nhóm bạn bè của bạn và hướng dẫn họ không chia sẻ video đó với bất kỳ ai khác|Tải video lên mạng xã hội với quyền xem công khai|Tải video lên mạng xã hội và chọn cài đặt bảo mật chỉ cho phép bạn bè của bạn xem video đó,Cho giáo viên khoa học xem video và yêu cầu chia sẻ video đó với lớp của bạn,Luôn cần xin phép người xuất hiện trong clip (ở đây là thầy cô giáo) trước khi phát tán hoặc chia sẻ hình ảnh/video của họ cho tập thể lớp hoặc trên mạng.
