id,type,question,options,correct_answers,explanation,image
1,multiple,Bạn là một trưởng nhóm. Nhóm của bạn đang làm việc trên môi trường ảo. Bạn cần xây dựng niềm tin và cách thức giao tiếp giữa các thành viên trong khi tham gia họp trực tuyến. Bạn nên thực hiện hành động nào? (Chọn 2),"Yêu cầu các thành viên khác trong nhóm điều phối từng phân đoạn của cuộc họp|Không tuân thủ chương trình họp, để nhóm có thể thảo luận tự phát|Cố làm người khác tôn trọng mình bằng cách che giấu các điểm yếu hoặc việc thiếu kiến thức của bản thân|Bắt đầu mỗi cuộc họp bằng cách điểm danh từng thành viên trong nhóm",Yêu cầu các thành viên khác trong nhóm điều phối từng phân đoạn của cuộc họp|Bắt đầu mỗi cuộc họp bằng cách điểm danh từng thành viên trong nhóm,Điểm danh chào hỏi từng cá nhân tạo sự gắn kết và việc trao quyền cho các thành viên luân phiên điều phối giúp xây dựng niềm tin và tinh thần làm chủ công việc.,
2,matrix,"Bạn là thành viên của một nhóm sinh viên họp trực tuyến vào mỗi buổi sáng. Một trong những thành viên trong nhóm luôn im lặng khi họp trực tuyến. Thành viên trầm lặng thực hiện tốt với kĩ năng công nghệ xuất sắc. Với từng phát biểu về cách thức tương tác với những thành viên nhút nhát hoặc hướng nội, hãy chọn Đúng hoặc Sai.","COLS: Đúng | Sai /// ROWS: Đưa email và tin nhắn vào kế hoạch công cụ liên lạc trong nhóm | Tìm hiểu ý tưởng của người im lặng đó và đề nghị chia sẻ ý tưởng đó với cả nhóm | Trong các cuộc họp trực tuyến, yêu cầu mọi người tắt tiếng, trừ người đang phát biểu | Tránh nói về công việc của thành viên im lặng vì điều này gây sự chú ý không mong","Đưa email và tin nhắn vào kế hoạch công cụ liên lạc trong nhóm: Đúng | Tìm hiểu ý tưởng của người im lặng đó và đề nghị chia sẻ ý tưởng đó với cả nhóm: Đúng | Trong các cuộc họp trực tuyến, yêu cầu mọi người tắt tiếng, trừ người đang phát biểu: Đúng | Tránh nói về công việc của thành viên im lặng vì điều này gây sự chú ý không mong: Sai","Khuyến khích người hướng nội qua kênh văn bản (email/chat), hỏi ý kiến riêng để hỗ trợ họ chia sẻ; không nên né tránh hoặc bỏ quên phần đóng góp xuất sắc của họ.",
3,matrix,"Người sếp mới của bạn đã chỉ định bạn vào một nhóm dự án. Bạn muốn tạo ấn tượng tốt bằng cách đóng góp xây dựng cho nhóm. Đối với mỗi phát biểu, hãy chọn Đúng nếu đó là đóng góp mang tính xây dựng hoặc Sai nếu không phải.","COLS: Đúng | Sai /// ROWS: Yêu cầu nhóm xác minh hiểu biết của bạn về mục tiêu dự án và các bước để đạt được mục tiêu đó | Hỏi sếp muốn bạn đóng góp như thế nào vào thành công của nhóm | Lập tức lên tiếng và ngắt lời bất kì thành viên nào trong nhóm trình bày ý tưởng mà bạn không đồng ý | Giải thích với nhóm rằng công việc, quyết định và nỗ lực của bạn sẽ không ảnh hưởng đến","Yêu cầu nhóm xác minh hiểu biết của bạn về mục tiêu dự án và các bước để đạt được mục tiêu đó: Đúng | Hỏi sếp muốn bạn đóng góp như thế nào vào thành công của nhóm: Đúng | Lập tức lên tiếng và ngắt lời bất kì thành viên nào trong nhóm trình bày ý tưởng mà bạn không đồng ý: Sai | Giải thích với nhóm rằng công việc, quyết định và nỗ lực của bạn sẽ không ảnh hưởng đến: Sai","Chủ động làm rõ mục tiêu và vai trò đóng góp là hành vi tích cực; ngắt lời người khác hoặc phủ nhận tầm ảnh hưởng của bản thân là thái độ tiêu cực, thiếu tính xây dựng.",
4,multiple,"Bạn là thành viên của một nhóm làm việc cùng nhau trong một dự án đầy thách thức. Nhóm họp trực tuyến một tuần/lần. Trong cuộc họp thứ hai, bạn thấy rằng hai trong số các thành viên của nhóm không quen sử dụng các tính năng của ứng dụng họp ảo. Tuỳ chọn nào sau đây là hành động hỗ trợ các thành viên trong nhóm của mình? (Chọn 2)",Nhắc nhở các thành viên trong nhóm rằng họ phải học cách sử dụng các tính năng|Gửi Email hướng dẫn từng bước sử dụng các tính năng của ứng dụng|Gửi liên kết Video đào tạo về các tính năng cho các thành viên trong nhóm|Khuyến khích mỗi thành viên trong nhóm tự luyện tập trước cuộc họp tiếp,Gửi Email hướng dẫn từng bước sử dụng các tính năng của ứng dụng|Gửi liên kết Video đào tạo về các tính năng cho các thành viên trong nhóm,Cung cấp tài liệu hướng dẫn cụ thể bằng văn bản và video mẫu giúp đồng nghiệp dễ dàng tự thao tác làm quen với phần mềm họp trực tuyến.,
5,matrix,"Bạn làm việc tại một tổng đài. Công việc của bạn là giải quyết các vấn đề của khách hàng và duy trì hoạt động kinh doanh của họ. Đối với mỗi phát biểu sau đây, hãy chọn Đúng nếu giúp xây dựng lòng tin của khách hàng hoặc chọn Sai nếu không.","COLS: Đúng | Sai /// ROWS: Sau khi khách hàng trình bày vấn đề, hãy diễn giải lại những gì khách hàng đã nói | Cho khách hàng biết công ty đánh giá cao doanh nghiệp của họ như thế nào | Nếu khách hàng có vẻ tức giận hoặc thất vọng, hãy đề nghị họ đưa doanh nghiệp của mình đi nơi khác | Trả lời bằng ngôn ngữ mà khách hàng sử dụng để cho thấy rằng bạn có thể liên quan đến họ, ngay cả khi ngôn ngữ đó thô | Đảm bảo với khách hàng rằng bạn sẽ giải quyết vấn đề","Sau khi khách hàng trình bày vấn đề, hãy diễn giải lại những gì khách hàng đã nói: Đúng | Cho khách hàng biết công ty đánh giá cao doanh nghiệp của họ như thế nào: Đúng | Nếu khách hàng có vẻ tức giận hoặc thất vọng, hãy đề nghị họ đưa doanh nghiệp của mình đi nơi khác: Sai | Trả lời bằng ngôn ngữ mà khách hàng sử dụng để cho thấy rằng bạn có thể liên quan đến họ, ngay cả khi ngôn ngữ đó thô: Sai | Đảm bảo với khách hàng rằng bạn sẽ giải quyết vấn đề: Đúng",Xây dựng lòng tin bằng cách lắng nghe thấu cảm và cam kết hỗ trợ; tuyệt đối không dùng từ ngữ thô tục theo khách hàng hoặc xua đuổi khách hàng.,
6,matrix,"Bạn là thành viên của một nhóm dự án. Bạn cần đóng góp ý kiến mang tính xây dựng cho cả nhóm. Với từng phát biểu sau đây, hãy chọn Đúng nếu điều này giúp đóng góp ý kiến mang tính xây dựng hoặc chọn Sai nếu không phải:","COLS: Đúng | Sai /// ROWS: Hiểu mục tiêu cuối cùng của dự án và các bước để đạt được mục tiêu đó | Hiểu rằng công việc, quyết định cũng như nỗ lực của bạn không ảnh hưởng đến nhóm | Hiểu rõ vai trò của bạn và cách bạn có thể đóng góp tốt nhất vào thành công của cả nhóm | Hiểu rằng bạn phải ngay lập tức lên tiếng ngắt lời người đang trình bày ý kiến khi bạn không đồng ý với ý kiến đó","Hiểu mục tiêu cuối cùng của dự án và các bước để đạt được mục tiêu đó: Đúng | Hiểu rằng công việc, quyết định cũng như nỗ lực của bạn không ảnh hưởng đến nhóm: Sai | Hiểu rõ vai trò của bạn và cách bạn có thể đóng góp tốt nhất vào thành công của cả nhóm: Đúng | Hiểu rằng bạn phải ngay lập tức lên tiếng ngắt lời người đang trình bày ý kiến khi bạn không đồng ý với ý kiến đó: Sai",Mỗi cá nhân cần nhận thức rõ trách nhiệm mắt xích của mình trong nhóm; không ngắt lời đồng nghiệp khi họ chưa trình bày xong.,
7,multiple,"Bạn quản lí một nhóm dự án trong thiết kế kĩ thuật số của mình. Bạn và các thành viên trong nhóm sẽ thực hiện dự án thiết kế cho một doanh nghiệp để thảo luận về dự án. Bạn cần đảm bảo rằng sau cuộc họp, chủ doanh nghiệp sẽ tự tin rằng nhóm của bạn có thể hoàn thành dự án thành công. Bạn nên thực hiện hành động nào sau đây? (Chọn 3)","Nói với khách hàng rằng bạn sẽ gửi Email một bản đề xuất phác thảo bao gồm các thời hạn cuối cùng|Sau khi khách hàng trình bày các ý tưởng, hãy diễn giải lại những gì họ đã nói|Nói theo cách bình thường, thân mật đặt khách hàng vào một cuộc thảo luận mang tính thoải mái và khích lệ|Cùng khách hàng quyết định những hình thức giao tiếp kĩ thuật số nào sẽ sử dụng trong suốt quá trình thực hiện dự án|Thảo luận về các mục tiêu nghề nghiệp của bạn trong lĩnh vực thiết kế kĩ thuật số|Có một cuộc thảo luận dài về các ứng dụng thiết kế mà bạn sẽ sử","Nói với khách hàng rằng bạn sẽ gửi Email một bản đề xuất phác thảo bao gồm các thời hạn cuối cùng|Sau khi khách hàng trình bày các ý tưởng, hãy diễn giải lại những gì họ đã nói|Cùng khách hàng quyết định những hình thức giao tiếp kĩ thuật số nào sẽ sử dụng trong suốt quá trình thực hiện dự án","Xác nhận lại yêu cầu, gửi email chốt tiến độ rõ ràng và thống nhất phương thức trao đổi số là các bước hành động chuyên nghiệp củng cố niềm tin khách hàng.",
8,multiple,Những cách mà công ty có thể đảm bảo rằng tất cả các thành viên trong nhóm đều đóng góp vào một cuộc họp hoặc dự án? (Chọn 3),Đe doạ sa thải tất cả những người không đáp ứng thời hạn của họ|Chỉ lắng nghe ý kiến của một số ít thành viên trong nhóm|Giao tiếp và đáp ứng các mục tiêu và thời hạn của dự án|Thúc đẩy sự tôn trọng đối với tất cả các thành viên trong nhóm|Tạo một môi trường an toàn,Giao tiếp và đáp ứng các mục tiêu và thời hạn của dự án|Thúc đẩy sự tôn trọng đối với tất cả các thành viên trong nhóm|Tạo một môi trường an toàn,"Tạo môi trường tâm lý an toàn, thúc đẩy sự tôn trọng và duy trì giao tiếp minh bạch về mục tiêu giúp khích lệ toàn bộ nhân viên tham gia đóng góp.",
9,single,"Bạn đang cùng với các bạn học thực hiện một dự án nhóm. Chỉ còn ba ngày nữa là đến hạn phải hoàn thành cho phần công việc mà bạn phụ trách trong dự án. Bạn nhận thấy rằng, bạn cần thêm thời gian để hoàn thành phần công việc đó. Bạn có một cuộc họp trực tuyến với các bạn học vào ngày mai. Bạn nên làm gì?",Giải thích tại sao bạn không đạt đúng tiến độ công việc|Nói với cả nhóm rằng bạn đã phải đảm nhận quá nhiều việc|Chờ cho đến khi nào bạn đã hoàn thành phần việc của mình thì mới liên lạc với nhóm|Mô tả những phần việc bạn đã hoàn thành và yêu cầu các bạn khác hỗ trợ mình cho phần việc còn lại,Mô tả những phần việc bạn đã hoàn thành và yêu cầu các bạn khác hỗ trợ mình cho phần việc còn lại,Trung thực báo cáo tiến độ thực tế và chủ động kêu gọi sự hỗ trợ từ các thành viên khác giúp dự án chung về đích đúng hạn mà không bị tắc nghẽn.,
10,matrix,Bạn cùng đồng nghiệp ở một chi nhánh rất xa bạn cùng hợp tác làm việc trong một dự án. Bạn có một bản kế hoạch cần được sửa chữa đồng bộ bởi bạn và đồng nghiệp. Hãy sắp xếp các bước để thực hiện tác vụ trên.,COLS: Tạo tập tin | Tải tập tin lên dịch vụ lưu trữ đám mây | Chia sẻ tập tin cho đồng nghiệp | Tạo chú thích | Đề xuất các chỉnh sửa /// ROWS: Bước 1 | Bước 2 | Bước 3 | Bước 4 | Bước 5,Bước 1: Tạo tập tin | Bước 2: Tải tập tin lên dịch vụ lưu trữ đám mây | Bước 3: Chia sẻ tập tin cho đồng nghiệp | Bước 4: Tạo chú thích | Bước 5: Đề xuất các chỉnh sửa,Quy trình cộng tác từ xa: Soạn thảo -> Đưa lên đám mây -> Cấp quyền chia sẻ -> Đọc và ghi chú thích -> Đưa ra các đề xuất hiệu chỉnh cụ thể.,
