id,type,question,options,correct_answers,explanation,image
1,single,"Khi cộng tác trong một dự án, một nhóm có thể cần tạo dòng thời gian và theo dõi các nhiệm vụ được giao. Công cụ nào có tính năng quản lý lịch và công việc?",Excel|Outlook|PowerPoint|Word,Outlook,"Microsoft Outlook tích hợp tính năng Calendar (Lịch) và Tasks/To-Do để tạo lịch biểu, hẹn giờ và theo dõi tiến độ nhiệm vụ được phân công.",
2,matrix,Một công ty đang làm việc cùng nhau để giải quyết một vấn đề không mong muốn ảnh hưởng đến nhiều khách hàng của mình. Họ đang sử dụng các công cụ kĩ thuật số để luôn có tổ chức và giao tiếp. Ghép công cụ hoặc phần mềm kĩ thuật số với cách sử dụng tốt nhất có thể của nó trong quá trình cộng tác.,COLS: Outlook | Bảng tính Excel được đồng uỷ quyền | Dropbox | OneNote /// ROWS: Lưu trữ tập tin ảnh và video để sử dụng trên phương tiện truyền thông xã hội | Liệt kê thông tin liên hệ của khách hàng ngày liên hệ và thông tin hoàn tiền | Tạo dòng thời gian bằng cách sử dụng lịch và phân công và theo dõi nhiệm vụ | Lưu trữ các bản cập nhật dự án và ghi chú cuộc họp,Lưu trữ tập tin ảnh và video để sử dụng trên phương tiện truyền thông xã hội: Dropbox | Liệt kê thông tin liên hệ của khách hàng ngày liên hệ và thông tin hoàn tiền: Bảng tính Excel được đồng uỷ quyền | Tạo dòng thời gian bằng cách sử dụng lịch và phân công và theo dõi nhiệm vụ: Outlook | Lưu trữ các bản cập nhật dự án và ghi chú cuộc họp: OneNote,Dropbox lưu trữ tệp đám mây đa phương tiện; Excel theo dõi danh sách dữ liệu tài chính/liên hệ; Outlook quản lý lịch và nhiệm vụ; OneNote ghi chép biên bản cuộc họp.,
3,single,Bạn bắt đầu kinh doanh nhỏ. Bạn và nhân viên của mình sẽ sử dụng bộ phần mềm cơ bản Microsoft Office để tăng năng suất làm việc. Bạn cần quyết định xem nên cài đặt các ứng dụng trên máy tính hay sử dụng phiên bản trực tuyến. Lợi ích của việc sử dụng ứng dụng trên máy tính so với sử dụng trên nền tảng điện toán đám mây là gì?,Chi phí trả trước thấp hơn|Phần mềm không phụ thuộc vào kết nối Internet|Phần mềm sử dụng ít dung lượng lưu trữ của ổ đĩa cứng hơn|Phần mềm được cập nhật thường xuyên hơn,Phần mềm không phụ thuộc vào kết nối Internet,Phần mềm cài đặt cục bộ trên máy tính (Desktop apps) có thể hoạt động hoàn toàn ngoại tuyến mà không phụ thuộc vào đường truyền mạng Internet.,
4,multiple,Ứng dụng nào có khả năng chia sẻ màn hình? (Chọn 3),Skype|Microsoft Teams|Outlook|TeamViewer|Skyview,Skype|Microsoft Teams|TeamViewer,"Skype, Microsoft Teams và TeamViewer đều là các phần mềm hỗ trợ tính năng chia sẻ màn hình (Screen Sharing) trực tiếp trong các phiên làm việc từ xa.",
5,multiple,Đặc điểm của một thành viên nhóm có tinh thần xây dựng là gì? (Chọn 2),Tò mò|Ngoan cố|Cứng rắn|Tự tin,Tò mò|Tự tin,"Tinh thần tò mò (ham học hỏi, cởi mở với cái mới) và sự tự tin (chủ động đóng góp ý kiến) là hai phẩm chất tiêu biểu của một thành viên nhóm mang tính xây dựng.",
6,matrix,Ghép các bước trong chu trình quản lý dự án với mô tả của nó.,"COLS: Lập kế hoạch (Planning) | Giám sát (Monitoring) | Thực hiện (Execution) | Đóng (Close) | Khởi tạo (Initiation) /// ROWS: Các chi tiết của một dự án được thực hiện để tạo ra các sản phẩm dự án | Người quản lí dự án quyết định có theo đuổi một dự án hay không | Người quản lí dự án xác định chi phí, phạm vi và khung thời gian của một dự án | Người quản lí dự án xác định bất kì vấn đề hoặc rủi ro nào xuất hiện trong quá trình đăng kí thực thi | Nhóm giao thành phẩm cho khách hàng và đánh giá dự án","Các chi tiết của một dự án được thực hiện để tạo ra các sản phẩm dự án: Thực hiện (Execution) | Người quản lí dự án quyết định có theo đuổi một dự án hay không: Khởi tạo (Initiation) | Người quản lí dự án xác định chi phí, phạm vi và khung thời gian của một dự án: Lập kế hoạch (Planning) | Người quản lí dự án xác định bất kì vấn đề hoặc rủi ro nào xuất hiện trong quá trình đăng kí thực thi: Giám sát (Monitoring) | Nhóm giao thành phẩm cho khách hàng và đánh giá dự án: Đóng (Close)",5 giai đoạn quản lý dự án chuẩn (PMBOK): Khởi tạo -> Lập kế hoạch -> Thực hiện -> Giám sát kiểm soát -> Kết thúc/Đóng dự án.,
7,single,Có bao nhiêu bước trong chu trình quản lý dự án?,7|4|5|8,5,"Chu trình quản lý dự án tiêu chuẩn gồm 5 giai đoạn: Khởi tạo (Initiation), Lập kế hoạch (Planning), Thực thi (Execution), Giám sát (Monitoring & Controlling), và Đóng (Closing).",
8,single,Các công ty nên tạo một hoặc nhiều quy trình ....... được sử dụng để quản lí việc hoàn thành các dự án.,Theo chu kỳ (Cyclical)|Có hạn (Finite)|U mê (Obtuse)|Vô nghĩa (Nonsensical),Theo chu kỳ (Cyclical),Quy trình theo chu kỳ (Cyclical process - lặp lại có cấu trúc) giúp chuẩn hóa các bước thực hiện và quản lý hiệu quả việc hoàn thành các dự án liên tiếp.,
9,multiple,"Bạn quản lí một nhóm dự án trong lớp thiết kế kĩ thuật số của mình. Bạn và các thành viên sẽ thực hiện dự án thiết kế cho một doanh nghiệp địa phương. Bạn sắp xếp một cuộc họp trực tuyến với chủ doanh nghiệp để thảo luận về dự án. Bạn cần đảm bảo rằng sau cuộc họp, chủ doanh nghiệp sẽ tự tin rằng nhóm của bạn có thể hoàn thành dự án thành công. Bạn nên thực hiện ba hành động nào? (Chọn 3)","Nói theo cách bình thường, thân mật để khách hàng cảm thấy thoải mái và khuyến khích thảo luận|Thảo luận về mục tiêu nghề nghiệp của bạn trong lĩnh vực thiết kế kĩ thuật số|Nói với khách hàng rằng bạn sẽ gửi Email dự thảo đề xuất, bao gồm cả thời hạn|Cùng khách hàng quyết định những hình thức giao tiếp số sẽ sử dụng trong dự án|Sau khi khách hàng trình bày ý tưởng, hãy diễn giải lại những gì họ đã nói|Thảo luận dài dòng về các ứng dụng thiết kế mà bạn sử dụng","Nói với khách hàng rằng bạn sẽ gửi Email dự thảo đề xuất, bao gồm cả thời hạn|Cùng khách hàng quyết định những hình thức giao tiếp số sẽ sử dụng trong dự án|Sau khi khách hàng trình bày ý tưởng, hãy diễn giải lại những gì họ đã nói","Lắng nghe chủ động (diễn giải lại ý tưởng), thống nhất kênh liên lạc và cam kết mốc thời gian rõ ràng trong văn bản đề xuất tạo dựng sự tin tưởng và tính chuyên nghiệp cao.",
10,matrix,"Nhóm của bạn đang phối hợp thực hiện một dự án nhóm trên môi trường ảo. Bạn muốn nhóm của mình và dự án thành công. Với từng phát biểu về các chiến lược để đạt được thành công cho nhóm làm việc trên môi trường ảo, hãy chọn Đúng hoặc Sai:",COLS: Đúng | Sai /// ROWS: Yêu cầu các thành viên trong nhóm thu thập thông tin trong sổ ghi chép OneNote | Tăng hiệu quả bằng cách chỉ sử dụng giao tiếp không đồng bộ | Tạo bảng thảo luận nhóm dành cho các cuộc trò chuyện liên quan đến dự án | Có một vị trí lưu trữ tập tin trung tâm mà tất cả các thành viên trong nhóm đều có thể truy cập,Yêu cầu các thành viên trong nhóm thu thập thông tin trong sổ ghi chép OneNote: Đúng | Tăng hiệu quả bằng cách chỉ sử dụng giao tiếp không đồng bộ: Sai | Tạo bảng thảo luận nhóm dành cho các cuộc trò chuyện liên quan đến dự án: Đúng | Có một vị trí lưu trữ tập tin trung tâm mà tất cả các thành viên trong nhóm đều có thể truy cập: Đúng,Làm việc nhóm ảo cần kết hợp cả giao tiếp đồng bộ (họp video khi cần ra quyết định) và không đồng bộ; chỉ dùng một hình thức duy nhất sẽ làm giảm tính linh hoạt.,
