id,type,question,options,correct_answers,explanation,image
1,single,Tùy chọn nào sau đây được chỉ định cho mỗi phiên bản (Version) phần mềm?,Cài đặt không thể thay đổi|Tên phiên bản duy nhất|Mã hóa khác biệt|Hướng dẫn chuyên đề,Tên phiên bản duy nhất,"Mỗi lần phát hành phần mềm mới đều được gắn một tên/mã định danh phiên bản duy nhất (ví dụ: v1.0, v2.1.3) để phân biệt với các bản phát hành trước.",
2,single,"Bạn cần tìm ra phiên bản Windows mà máy tính của bạn đang chạy. Bạn nên thực hiện hành động này ở khu vực nào của cửa sổ Cài đặt (Setting)? (Để trả lời, hãy nhấp chuột vào biểu tượng phù hợp trong hình sau đây)","Bấm vào ""Hệ thống""|Bấm vào ""Thiết bị""|Bấm vào ""Điện thoại""|Bấm vào ""Mạng và Internet""","Bấm vào ""Hệ thống""","Mục 'Hệ thống' (System) chứa phần Giới thiệu (About), nơi cung cấp chi tiết thông tin về phiên bản hệ điều hành Windows đang cài đặt.",
3,single,"Phát biểu sau đây là Đúng hay Sai: ""Một lợi ích của lập phiên bản đám mây là người dùng có thể lưu trữ nhiều phiên bản của một tập tin.""",Đúng|Sai,Đúng,"Tính năng Cloud Versioning tự động lưu lại các bản chỉnh sửa qua từng mốc thời gian, giúp người dùng dễ dàng xem lại hoặc khôi phục bản cũ khi cần.",
4,single,"Điện thoại thông minh của bạn đã cài đặt FireFox, Google Chrome và trình duyệt riêng của nhà sản xuất điện thoại của bạn. Hiện tại, tất cả các trang Web đều mở trong trình duyệt riêng của nhà sản xuất. Bạn muốn thay đổi cài đặt điện thoại để các trang Web tự động mở trong trình duyệt Web FireFox. Trên điện thoại thông minh Android hoặc iPhone, tùy chọn nào sau đây có thể giúp bạn thay đổi cài đặt kiểm soát trình duyệt mở tự động?",Trong cửa hàng ứng dụng trên điện thoại của bạn|Thiết lập Email|Trong cài đặt của phần trình duyệt|Quản lý công việc (Task Manager),Trong cài đặt của phần trình duyệt,Bạn có thể vào Cài đặt của chính ứng dụng trình duyệt (hoặc Cài đặt ứng dụng mặc định của máy) để đặt làm Trình duyệt mặc định (Default Browser).,
5,single,Kích thước tập tin nào yêu cầu nhiều dung lượng lưu trữ hơn?,4 Petabytes (PB)|8 Terabytes (TB)|32 Gigabytes (GB)|128 Megabytes (MB),4 Petabytes (PB),"Thứ tự đơn vị dung lượng: MB < GB < TB < PB. Trong đó 1 PB = 1.024 TB, nên 4 Petabytes có dung lượng lớn nhất.",
6,single,"Máy tính của bạn sử dụng hệ điều hành Windows 10. Trên máy tính đã cài đặt sẵn các trình duyệt Web như Microsoft Edge, Microsoft Internet Explorer và Google Chrome. Mỗi khi bạn nhấp chuột vào một liên kết trang Web trong Email của mình, trang Web của liên kết đó được mở ra trên trình duyệt Web Microsoft Edge. Tuy nhiên, bạn lại muốn mỗi khi nhấp chuột vào các liên kết trong Email thì các trang Web sẽ được mở trên trình duyệt Web Google Chrome. Tùy chọn nào sau đây là thích hợp để bạn có thể tùy chỉnh trên máy tính của mình?",Các thông báo (Notifications)|Các cài đặt quyền riêng tư cho Email (Email privacy settings)|Các ứng dụng mặc định (Default Apps)|Trình quản lý tác vụ (Task Manager),Các ứng dụng mặc định (Default Apps),"Trong Windows Settings, mục Default Apps cho phép chọn trình duyệt web mặc định để tự động mở các liên kết web.",
7,single,"Bạn mua một chương trình phần mềm để phục vụ cho việc thực hiện dự án của mình. Sau khi bạn đã hoàn thành dự án, một người bạn hỏi mượn chương trình phần mềm như vậy có được phép hay không. Tùy chọn nào sau đây là nơi thích hợp để bạn tìm kiếm thông tin?",Danh sách kiểm soát truy cập (ACL)|Thỏa thuận giấy phép người dùng cuối (EULA)|Hệ thống quản lý nội dung (CMS)|Bảng đánh giá phần mềm điện tử (ESRB),Thỏa thuận giấy phép người dùng cuối (EULA),"EULA (End-User License Agreement) là văn bản pháp lý quy định rõ phạm vi quyền hạn sử dụng, cài đặt và chia sẻ phần mềm có được phép hay không.",
8,matrix,"Trước khi phân phối bản ghi mà bạn đã tạo, bạn muốn xác định định dạng tập tin âm thanh nào sẽ mang lại chất lượng tốt nhất cho kích thước tập tin nhỏ nhất. Ghép từng định dạng âm thanh với mô tả của nó. Để trả lời, hãy di chuyển định dạng âm thanh từ danh sách ở bên phải sang mô tả ở bên trái.","COLS: MP4 | MP3 | WAV | WMA /// ROWS: Sử dụng tính năng nén giúp tiết kiệm không gian quý giá trong khi vẫn duy trì chất lượng gần như hoàn hảo của nguồn âm thanh gốc | Thường được sử dụng trên hệ thống Windows | Là một giải pháp thay thế dựa trên Windows cho loại tệp MP3 phổ biến và thông dụng hơn | Có khả năng lưu giữ âm thanh, Video và các phương tiện khác bằng cách chứa dữ liệu chứ không phải mã","Sử dụng tính năng nén giúp tiết kiệm không gian quý giá trong khi vẫn duy trì chất lượng gần như hoàn hảo của nguồn âm thanh gốc: MP3 | Thường được sử dụng trên hệ thống Windows: WAV | Là một giải pháp thay thế dựa trên Windows cho loại tệp MP3 phổ biến và thông dụng hơn: WMA | Có khả năng lưu giữ âm thanh, Video và các phương tiện khác bằng cách chứa dữ liệu chứ không phải mã: MP4",MP3 nén âm thanh tối ưu; WAV là định dạng không nén chuẩn Windows; WMA do Microsoft phát triển thay thế MP3; MP4 là vùng chứa đa phương tiện (container).,
9,matrix,Bạn cần khắc phục một số vấn đề gặp phải trên máy tính và điện thoại thông minh của mình. Hãy nối cách khắc phục sự cố trong danh sách ở cột bên phải tương ứng với vấn đề mà bạn gặp phải ở cột bên trái.,"COLS: Kiểm tra hiện tượng mòn đầu đọc/ghi trên ổ đĩa cứng | Kiểm tra mức độ sử dụng tài nguyên trên trình quản lí tác vụ (Task Manager) | Kiểm tra các quyền ứng dụng | Kiểm tra kết nối mạng /// ROWS: Màn hình máy tính bị đóng băng khi bạn đang làm việc với tập tin dự án | Màn trập máy ảnh trên điện thoại thông minh của bạn phát ra âm thanh, nhưng hiện tại bạn đang không chụp ảnh | Các trang Web hiển thị nội dung chậm khi bạn đang tìm kiếm thông tin trên Internet | Khi bạn khởi động máy tính, bạn nghe thấy tiếng tích tắc nhịp nhàng bên trong thùng máy","Màn hình máy tính bị đóng băng khi bạn đang làm việc với tập tin dự án: Kiểm tra mức độ sử dụng tài nguyên trên trình quản lí tác vụ (Task Manager) | Màn trập máy ảnh trên điện thoại thông minh của bạn phát ra âm thanh, nhưng hiện tại bạn đang không chụp ảnh: Kiểm tra các quyền ứng dụng | Các trang Web hiển thị nội dung chậm khi bạn đang tìm kiếm thông tin trên Internet: Kiểm tra kết nối mạng | Khi bạn khởi động máy tính, bạn nghe thấy tiếng tích tắc nhịp nhàng bên trong thùng máy: Kiểm tra hiện tượng mòn đầu đọc/ghi trên ổ đĩa cứng",Máy treo -> xem Task Manager; camera tự chụp -> kiểm tra quyền ứng dụng; web chậm -> kiểm tra mạng; ổ cứng kêu tích tắc -> mòn cơ khí đầu đọc/ghi HDD.,
10,single,Hình ảnh và văn bản trên màn hình máy tính xách tay của bạn xuất hiện méo mó. Bạn cần giải quyết vấn đề này. Việc đầu tiên bạn nên làm là gì?,Kiểm tra cài đặt hiển thị|Gọi hỗ trợ kỹ thuật|Tải xuống tài liệu hướng dẫn sử dụng của máy tính|Gắn thêm một màn hình ngoài,Kiểm tra cài đặt hiển thị,Hình ảnh bị méo hoặc mờ thường do độ phân giải hoặc tỷ lệ co giãn (Scale & Resolution) bị sai; kiểm tra Display Settings là bước đầu tiên.,
