id,type,question,options,correct_answers,explanation,image
1,multiple,Những phát biểu nào sau đây là đúng về dịch vụ lưu trữ điện toán đám mây? (chọn tất cả các đáp án đúng),Các thư mục hoặc tập tin tải lên dịch vụ lưu trữ đám mây không được mã hóa mặc định|Dữ liệu được lưu trên điện toán đám mây có thể được cập nhật thủ công|Dữ liệu lưu trữ điện toán đám mây có thể truy cập ở bất cứ đâu có Internet,Dữ liệu được lưu trên điện toán đám mây có thể được cập nhật thủ công|Dữ liệu lưu trữ điện toán đám mây có thể truy cập ở bất cứ đâu có Internet,Dữ liệu trên đám mây có thể tải lên/cập nhật thủ công bởi người dùng và có thể truy cập linh hoạt từ bất kỳ thiết bị nào có kết nối Internet.,
2,matrix,Ghép nối từng nhu cầu cụ thể với thiết bị kĩ thuật số thích hợp nhất:,"COLS: Máy tính để bàn (Desktop Computer) | Smartphone | Tablet /// ROWS: Có khả năng kiểm tra Email, gửi tin nhắn và nhận cuộc gọi thoại mà không cần Wi-Fi | Có khả năng hợp nhất và chỉnh sửa các Video lớn cho trang Web của khách hàng | Tính di động để sử dụng trong lớp học, hỗ trợ ghi chú, truy cập vào đám mây và chạy hầu hết các ứng dụng văn phòng","Có khả năng kiểm tra Email, gửi tin nhắn và nhận cuộc gọi thoại mà không cần Wi-Fi: Smartphone | Có khả năng hợp nhất và chỉnh sửa các Video lớn cho trang Web của khách hàng: Máy tính để bàn (Desktop Computer) | Tính di động để sử dụng trong lớp học, hỗ trợ ghi chú, truy cập vào đám mây và chạy hầu hết các ứng dụng văn phòng: Tablet",Smartphone dùng mạng di động gọi/nhắn tin mọi lúc; Máy tính để bàn có cấu hình mạnh chuyên render/dựng video nặng; Tablet mỏng nhẹ tiện ghi chú và học tập.,
3,single,Độ phân giải màn hình cao nhất là gì?,1920x1080|1440x900|1536x864|1366x768,1920x1080,"Độ phân giải 1920x1080 (chuẩn Full HD) có tổng số điểm ảnh là 2.073.600 pixels, cao nhất trong các phương án được liệt kê.",
4,single,"Bạn hãy cho biết, tác dụng của việc tăng độ phân giải hình ảnh trước khi chụp ảnh?",Hình ảnh bị vỡ nét|Kích thước hình ảnh nhỏ hơn|Chất lượng hình ảnh được cải thiện|Kích thước tập tin giảm xuống,Chất lượng hình ảnh được cải thiện,"Tăng độ phân giải (số lượng megapixel) giúp thu nhận nhiều chi tiết hơn, từ đó cải thiện độ sắc nét và chất lượng tổng thể của bức ảnh.",
5,matrix,"Bạn đăng một video lên trang Web của công ty. Người dùng than phiền rằng Video tải quá lâu. Bạn cần giảm thời gian tải Video. Đối với mỗi hành động, hãy chọn Có nếu hành động đó giúp tải Video nhanh hơn. Ngược lại, hãy chọn Không.",COLS: Có | Không /// ROWS: Tăng tốc độ bit của Video | Chuyển đổi Video thành HTML5 | Giảm độ phân giải của Video | Thay thế Video bằng phiên bản chưa nén,Tăng tốc độ bit của Video: Không | Chuyển đổi Video thành HTML5: Có | Giảm độ phân giải của Video: Có | Thay thế Video bằng phiên bản chưa nén: Không,Định dạng HTML5 và việc giảm độ phân giải giúp giảm dung lượng tệp để tải nhanh hơn; tăng bitrate hoặc dùng video chưa nén sẽ làm tệp nặng hơn đáng kể.,
6,multiple,Trung tâm dữ liệu điện toán đám mây tác động tiêu cực đến môi trường theo cách nào sau đây? (Chọn 2),"Các trung tâm này được xây dựng ở cùng khí hậu lạnh, gây tổn hại đến môi trường sống của gấu Bắc Cực và các động vật hoang dã khác|Các trung tâm này đổ nhiệt thải vào các nguồn nước gần đó, làm tăng nhiệt, vượt quá mức mà các sinh vật thủy sinh có thể tồn tại|Các trung tâm này sử dụng một lượng điện đáng kể được lấy từ các nguồn năng lượng không thể tái tạo|Các trung tâm này sử dụng chất làm mát hóa học, thường được làm từ các vật liệu nguy hiểm","Các trung tâm này được xây dựng ở cùng khí hậu lạnh, gây tổn hại đến môi trường sống của gấu Bắc Cực và các động vật hoang dã khác|Các trung tâm này sử dụng chất làm mát hóa học, thường được làm từ các vật liệu nguy hiểm",Việc đặt trung tâm dữ liệu tại vùng lạnh ảnh hưởng môi trường sinh thái hoang dã và việc sử dụng các chất làm mát công nghiệp có thể gây hại cho môi trường.,
7,multiple,Trường hợp nào sau đây sẽ tạo ra một phiên bản đám mây mới trong Google Docs? (Chọn 2),Tải lên một thư mục mới|Thêm nhận xét (comment) vào Google Docs|Xem nội dung của một thư mục|Sao chép một thư mục|Tải xuống tập tin,Tải lên một thư mục mới|Thêm nhận xét (comment) vào Google Docs,"Khi thêm nội dung/nhận xét vào tài liệu hoặc tải lên cấu trúc thư mục mới, hệ thống lưu trữ đám mây tự động ghi nhận một mốc lịch sử/phiên bản mới.",
8,single,Bạn lưu và chỉnh sửa tập tin trên Google Drive. Tính năng lập phiên bản trên nền tảng điện toán đám mây (Cloud Versioning) đã được bật. Bạn xóa phiên bản trực tiếp (live version) của tập tin mà không chỉ định số khởi tạo (Generation Number). Tùy chọn nào sau đây là đúng khi nói về kết quả sẽ xảy ra?,Một bản sao của phiên bản không hiện hành (Noncurrent Version) thay thế phiên bản trực tiếp (Live Version) và nhận số khởi tạo (Generation Number) mới|Phiên bản không hiện hành (Noncurrent Version) bị xóa vĩnh viễn|Phiên bản trực tiếp (Live Version) bị xóa vĩnh viễn|Phiên bản trực tiếp (Live Version) trở thành phiên bản không hiện hành (Noncurrent Version) và số khởi tạo (Generation Number) sẽ được giữ nguyên,Phiên bản trực tiếp (Live Version) trở thành phiên bản không hiện hành (Noncurrent Version) và số khởi tạo (Generation Number) sẽ được giữ nguyên,"Khi Cloud Versioning được bật, xóa phiên bản hiện tại sẽ biến nó thành phiên bản cũ (Noncurrent Version) và giữ nguyên mã định danh khởi tạo.",
9,matrix,Hãy sắp xếp các bước sử dụng Start Menu để gỡ cài đặt Outlook trên PC:,COLS: Bước 1 | Bước 2 | Bước 3 /// ROWS: Chọn biểu tượng Start Menu | Chọn và giữ (hoặc nhấp chuột phải) Outlook | Chọn gỡ cài đặt (Uninstall),Chọn biểu tượng Start Menu: Bước 1 | Chọn và giữ (hoặc nhấp chuột phải) Outlook: Bước 2 | Chọn gỡ cài đặt (Uninstall): Bước 3,Trình tự gỡ phần mềm từ Start Menu: Bấm phím/biểu tượng Start -> Nhấp chuột phải vào ứng dụng Outlook -> Chọn Gỡ cài đặt (Uninstall).,
10,single,Chương trình nào sau đây có thể được sử dụng để đóng một ứng dụng đang bị đóng băng?,Finder|Settings|Windows Update|Task Manager,Task Manager,"Trên hệ điều hành Windows, Task Manager (Trình quản lý tác vụ) cho phép người dùng dừng khẩn cấp (End Task) các ứng dụng bị treo/đóng băng.",
