id,type,question,options,correct_answers,explanation,image
1,single,"Hãy chọn từ thích hợp để hoàn thành phát biểu sau đây: ""Số kiểu máy tính (Computer Model Number) là một số được cá nhân hóa do nhà máy sản xuất .... của nó cấp cho một máy tính.""",OS|Software|Hardware|Model,Hardware,Số kiểu máy (Model Number) được nhà sản xuất phần cứng (Hardware manufacturer) ấn định để định danh cấu hình vật lý của dòng máy.,
2,single,"Trong hình ảnh sau đây, thông tin nào là thông tin hệ thống (System Information) để xác định số kiểu máy (Model Number) của PC?",10.0.18363 Build 18363|81Y6|x64-based PC|UEFI,81Y6,"Trong bảng System Information, dòng 'System Model' hiển thị giá trị '81Y6', đây chính là số kiểu máy của thiết bị.",
3,matrix,Hãy sắp xếp các bước sử dụng Menu Apple để kiểm tra các bản cập nhật trên máy Mac:,COLS: Bước 1 | Bước 2 | Bước 3 /// ROWS: Chọn biểu tượng Menu Apple | Chọn System Preferences | Chọn Software Update,Chọn biểu tượng Menu Apple: Bước 1 | Chọn System Preferences: Bước 2 | Chọn Software Update: Bước 3,Trình tự kiểm tra cập nhật trên macOS: Nhấp biểu tượng Apple góc trái -> Mở System Preferences -> Chọn mục Software Update.,
4,single,"Bạn đang gặp sự cố với máy tính xách tay sử dụng hệ điều hành Windows. Trước khi liên hệ với bộ phận hỗ trợ, bạn phải thu thập thông tin về thiết bị của mình như bộ xử lý, dung lượng RAM và phiên bản hệ điều hành. Tùy chọn nào sau đây giúp bạn có thể tìm thấy thiết bị và thông tin hệ thống?",Desktop > System Info|Settings > System Info|File > Info|Settings > About,Settings > About,"Đường dẫn Settings > System > About trong Windows hiển thị đầy đủ thông số phần cứng (CPU, RAM) và phiên bản Windows chi tiết.",
5,single,Trình duyệt bạn sử dụng là Chrome. Bạn muốn thêm một tiện ích mở rộng sẽ tự động hiện thị các trang Web tiếng Tây Ban Nha bằng tiếng Anh. Tiện ích mở rộng nào sau đây sẽ cho phép trình duyệt Web Chrome hiển thị các trang Web tiếng Tây Ban Nha bằng tiếng Anh?,Screencastify|Read-a-Loud|Google Translate|Dark Reader,Google Translate,Tiện ích Google Translate (Google Dịch) tích hợp trên Chrome có khả năng phát hiện và tự động dịch toàn bộ trang web sang ngôn ngữ mong muốn.,
6,matrix,Bạn làm việc trong phòng máy của trường học với tư cách là trợ lý cho quản trị viên mạng. Bạn đến phòng thí nghiệm sớm hơn mọi người và nhận thấy rằng bạn không thể truy cập Internet. Bạn bắt đầu khắc phục sự cố. Hãy sắp xếp các bước khắc phục sự cố theo đúng thứ tự:,COLS: Bước 1 | Bước 2 | Bước 3 | Bước 4 | Bước 5 | Bước 6 /// ROWS: Kiểm tra phần cứng | Sử dụng lệnh ipconfig | Sử dụng ping hoặc tracert | Thực hiện kiểm tra DNS | Liên hệ với ISP | Kiểm tra bảo vệ chống Virus và phần mềm độc hại,Kiểm tra phần cứng: Bước 1 | Sử dụng lệnh ipconfig: Bước 2 | Sử dụng ping hoặc tracert: Bước 3 | Thực hiện kiểm tra DNS: Bước 4 | Liên hệ với ISP: Bước 5 | Kiểm tra bảo vệ chống Virus và phần mềm độc hại: Bước 6,Quy trình xử lý mạng: Kiểm tra dây cáp/phần cứng -> ipconfig kiểm tra IP -> ping/tracert kiểm tra kết nối gateway -> test DNS -> gọi nhà mạng ISP -> quét virus nếu cần.,
7,multiple,Tại sao người dùng biết hệ điều hành và phiên bản của hệ điều hành rất quan trọng? (Chọn 2),Nhiều ứng dụng miễn phí|Các bản cập nhật phiên bản khả dụng|Các tác vụ khác nhau giữa các hệ điều hành|Phần mềm có giá đắt,Các bản cập nhật phiên bản khả dụng|Các tác vụ khác nhau giữa các hệ điều hành,Nắm rõ phiên bản hệ điều hành giúp biết máy có tương thích với bản cập nhật mới hay không và cách thức thao tác các tác vụ riêng biệt của từng hệ điều hành.,
8,multiple,Tùy chọn nào sau đây là lý do cho việc tạo phiên bản (Version) phần mềm? (Chọn 2),Cho phép lập trình viên theo dõi các thay đổi|Cho phép khách hàng nhận ra các phiên bản cập nhật|Cho phép các nhà xuất bản phần mềm theo dõi doanh số bán hàng hiệu quả hơn|Cho phép các nhà bán lẻ tính thêm tiền|Cho phép các thiết bị máy tính sử dụng ít bộ nhớ hơn,Cho phép lập trình viên theo dõi các thay đổi|Cho phép khách hàng nhận ra các phiên bản cập nhật,Số hiệu phiên bản phần mềm giúp nhà phát triển theo dõi lịch sử mã nguồn (changelog) và giúp người dùng nhận biết bản nâng cấp/vá lỗi mới nhất.,
9,single,Bạn đang đi du lịch và điện thoại thông minh của bạn đã không nhận được tin nhắn văn bản trong vài giờ qua nhưng một người bạn vừa gọi và nói với bạn rằng cô ấy đã gửi một số tin nhắn. Bây giờ điện thoại của bạn không thể thực hiện cuộc gọi đi. Tùy chọn nào sau đây là bước đầu tiên bạn cần thực hiện để khắc phục sự cố với điện thoại thông minh của mình?,"Gọi hỗ trợ kỹ thuật|Nếu bạn có thẻ SIM, hãy thay thế nó|Tắt và bật lại điện thoại của bạn|Thực hiện khôi phục cài đặt gốc (Factory Reset)",Tắt và bật lại điện thoại của bạn,Khởi động lại máy (Tắt và bật lại) là bước xử lý sự cố đầu tiên đơn giản và hiệu quả nhất để làm mới kết nối mạng di động và giải phóng lỗi xung đột phần mềm tạm thời.,
10,matrix,Xác định xem các thiết bị kỹ thuật số có đáp ứng các yêu cầu hay không. Chọn Đúng nếu thiết bị đáp ứng các yêu cầu hoặc chọn Sai nếu không đáp ứng.,"COLS: Đúng | Sai /// ROWS: Điện thoại thông minh có khả năng kiểm tra Email, gửi tin nhắn và nhận cuộc gọi thoại mà không cần Wifi | Một máy tính bảng là đủ để gộp và chỉnh sửa các video lớn trên trang Web của khách hàng | Máy tính xách tay có thể di động để sử dụng trong lớp học, hỗ trợ truy cập vào đám mây và chạy hầu hết các ứng dụng văn phòng","Điện thoại thông minh có khả năng kiểm tra Email, gửi tin nhắn và nhận cuộc gọi thoại mà không cần Wifi: Đúng | Một máy tính bảng là đủ để gộp và chỉnh sửa các video lớn trên trang Web của khách hàng: Sai | Máy tính xách tay có thể di động để sử dụng trong lớp học, hỗ trợ truy cập vào đám mây và chạy hầu hết các ứng dụng văn phòng: Đúng",Smartphone dùng 4G/5G nghe gọi nhắn tin không cần Wi-Fi; Máy tính bảng không đủ năng lực xử lý dựng ghép video lớn chuyên nghiệp; Laptop đáp ứng trọn vẹn việc học và văn phòng.,
