id,type,question,options,correct_answers,explanation,image
1,matrix,"Với mỗi phương thức xác thực, hãy chọn Có nếu đó là một phần của phương thức xác thực đa yếu tố hoặc chọn Không nếu không phải:",COLS: Có | Không /// ROWS: Các dữ liệu sinh trắc học như dấu vân tay của bạn | Mã bảo mật ở mặt sau thẻ tín dụng | Mã PIN được khởi tạo qua SMS mà bạn nhận được bằng tin nhắn văn bản | Thông báo CAPTCHA kiểm tra xem người dùng là người thật hay Robot,Các dữ liệu sinh trắc học như dấu vân tay của bạn: Có | Mã bảo mật ở mặt sau thẻ tín dụng: Không | Mã PIN được khởi tạo qua SMS mà bạn nhận được bằng tin nhắn văn bản: Có | Thông báo CAPTCHA kiểm tra xem người dùng là người thật hay Robot: Không,"Xác thực đa yếu tố (MFA) kết hợp các yếu tố: Bạn là ai (sinh trắc học), Bạn có gì (SMS OTP), Bạn biết gì (mật khẩu/PIN); mã CVV thẻ tín dụng và CAPTCHA không phải là yếu tố cấu thành MFA.",
2,multiple,Xác thực đa yếu tố (MFA) giúp cung cấp bảo mật bổ sung cho tài khoản bằng cách yêu cầu nhập hai hoặc nhiều thông tin đăng nhập khi đăng nhập. Đó là thông tin đăng nhập phổ biến nào? (Chọn 3),Tên người dùng (Username)|Ngày (Data)|Mã PIN|Mật khẩu (Password)|Dấu vân tay (Fingerprint),Mã PIN|Mật khẩu (Password)|Dấu vân tay (Fingerprint),"MFA kết hợp từ 2 trong 3 loại thông tin xác thực: Điều bạn biết (Mật khẩu, Mã PIN) và Điều bạn là (Dấu vân tay/sinh trắc học).",
3,multiple,Tuỳ chọn nào sau đây được ghép nối để tạo xác thực đa yếu tố? (Chọn 2),Một cái gì đó bạn tưởng tượng|Thứ gì đó bạn ngửi thấy|Một cái gì đó bạn thấy|Một cái gì đó bạn biết|Một cái gì đó bạn có,Một cái gì đó bạn biết|Một cái gì đó bạn có,"Hai trong ba trụ cột chính của xác thực đa yếu tố (MFA) là: Điều bạn biết (Something you know - mật khẩu) và Điều bạn có (Something you have - điện thoại, token, thẻ thông minh).",
4,single,Bạn đang thiết kế bảo mật cho một trang Web. Ghép nối nào với mật khẩu để tạo ra xác thực đa yếu tố?,Số điện thoại|Vân tay|Tên thời con gái của mẹ|ID người dùng,Vân tay,"Mật khẩu thuộc nhóm 'Điều bạn biết'. Để tạo MFA cần kết hợp với một nhóm yếu tố khác biệt, chẳng hạn như 'Điều bạn là' (Vân tay/Sinh trắc học).",
5,matrix,Hoàn thành các câu sau đây bằng cách lựa chọn đúng tùy chọn từ mỗi danh sách thả xuống,COLS: Sinh trắc học | Vật lý | Logic /// ROWS: Dấu vân tay và nhận dạng khuôn mặt là những ví dụ về yếu tố xác thực ... | Điện thoại thông minh và thẻ ra vào của nhân viên là những ví dụ về yếu tố xác thực ... | Mật khẩu và số nhận dạng cá nhân (PIN) là những ví dụ về yếu tố xác thực ...,Dấu vân tay và nhận dạng khuôn mặt là những ví dụ về yếu tố xác thực ...: Sinh trắc học | Điện thoại thông minh và thẻ ra vào của nhân viên là những ví dụ về yếu tố xác thực ...: Vật lý | Mật khẩu và số nhận dạng cá nhân (PIN) là những ví dụ về yếu tố xác thực ...: Logic,Vân tay/khuôn mặt là đặc điểm sinh trắc học; điện thoại/thẻ từ là thiết bị vật lý; mật khẩu/mã PIN là thông tin xác thực logic.,
6,multiple,Những dấu hiệu tiềm ẩn của Virus là gì? (Chọn 3),Các trang Web mong muốn tải lên nhanh chóng|Có phần mềm không mong muốn được cài đặt trên máy tính|Ứng dụng thường xuyên gặp sự cố|Máy tính hoạt động bình thường|Máy tính bắt đầu hoạt động rất chậm,Có phần mềm không mong muốn được cài đặt trên máy tính|Ứng dụng thường xuyên gặp sự cố|Máy tính bắt đầu hoạt động rất chậm,"Dấu hiệu máy tính nhiễm mã độc/virus: Phần mềm lạ tự cài đặt, các ứng dụng liên tục bị treo/crash bất thường và hiệu năng hệ thống suy giảm nghiêm trọng.",
7,matrix,Ghép các tuỳ chọn quét Virus trên máy tính sử dụng hệ điều hành Windows 10 với các chức năng tương ứng:,COLS: Quét tuỳ chỉnh (Custom Scan) | Quét ngoại tuyến của Windows Defender (Windows Defender Offline Scan) | Quét nhanh (Quick scan) | Quét toàn bộ (Full Scan) /// ROWS: Tuỳ chọn quét được thiết kế để loại bỏ Virus và phần mềm độc hại khó bị phát hiện | Tuỳ chọn quét mà người dùng có thể chỉ định những tập tin và những vị trí mà họ muốn quét | Quét kĩ toàn bộ để kiểm tra tất cả các tập tin và chương trình đang chạy trên đĩa cứng | Quét nhanh để kiểm tra các thư mục nơi mà các Virus thường ẩn nấp,Tuỳ chọn quét được thiết kế để loại bỏ Virus và phần mềm độc hại khó bị phát hiện: Quét ngoại tuyến của Windows Defender (Windows Defender Offline Scan) | Tuỳ chọn quét mà người dùng có thể chỉ định những tập tin và những vị trí mà họ muốn quét: Quét tuỳ chỉnh (Custom Scan) | Quét kĩ toàn bộ để kiểm tra tất cả các tập tin và chương trình đang chạy trên đĩa cứng: Quét toàn bộ (Full Scan) | Quét nhanh để kiểm tra các thư mục nơi mà các Virus thường ẩn nấp: Quét nhanh (Quick scan),Windows Defender Offline quét trước khi hệ điều hành khởi động để diệt rootkit/mã độc ẩn sâu; Custom Scan cho phép chỉ định thư mục; Full Scan quét toàn bộ ổ đĩa; Quick Scan quét nhanh vùng nhớ trọng yếu.,
8,multiple,Bạn nên quét Virus vì lí do nào? (Chọn 2),Bạn nhận được một Email từ một cửa hàng trực tuyến sau khi đặt hàng ở đó|Máy tính của bạn bắt đầu chạy chậm hơn bình thường|Một chương trình bạn không khởi động mà tự vận hành|Quảng cáo bật lên xuất hiện trên một trang Web,Máy tính của bạn bắt đầu chạy chậm hơn bình thường|Một chương trình bạn không khởi động mà tự vận hành,Máy tính đột ngột chạy chậm hoặc có tiến trình/phần mềm lạ tự động kích hoạt là hai cảnh báo đỏ cho thấy hệ thống có khả năng đã bị mã độc xâm nhập.,
9,single,"Nếu một người dùng thường xuyên sử dụng Internet, họ nên quét Virus trên máy tính của mình bao lâu một lần?",Hai đến ba lần mỗi tuần|Ít khi|Mỗi ngày|Mỗi tháng một lần,Hai đến ba lần mỗi tuần,Người dùng Internet thường xuyên nên duy trì lịch quét virus định kỳ từ 2 đến 3 lần mỗi tuần để bảo đảm an toàn dữ liệu và phát hiện kịp thời các mối đe dọa.,
10,multiple,Loại khiếu nại pháp lý nào liên quan đến việc công bố trái phép thông tin cá nhân và riêng tư? (Chọn 2),Chia sẻ địa chỉ Cookie|Sử dụng tên hoặc chân dung của người khác|Công bố thông tin cá nhân|Đăng các đánh giá về hiệu quả hoạt động của nhà thầu|Thói quen duyệt Web do Cookie thu thập,Sử dụng tên hoặc chân dung của người khác|Công bố thông tin cá nhân,Tự ý sử dụng hình ảnh/danh tính của người khác hoặc phát tán trái phép dữ liệu đời tư cá nhân cấu thành hành vi xâm phạm quyền riêng tư và sở hữu nhân thân theo luật định.,
