id,type,question,options,correct_answers,explanation,image
1,multiple,Tuỳ chọn nào sau đây là công cụ giao tiếp kĩ thuật số không đồng bộ? (Chọn 2),Video Conference|Phone Call|Email|Text Message,Email|Text Message,"Giao tiếp không đồng bộ (Asynchronous) không yêu cầu các bên phải phản hồi tức thời cùng lúc, điển hình là Email và Tin nhắn văn bản (Text Message).",
2,multiple,Hai hình thức giao tiếp nào phù hợp nhất cho những thông điệp ngắn gọn? (Chọn 2),Tin nhắn tức thời (IM)|Tin nhắn văn bản (SMS)|Hội nghị truyền hình (Video Conferencing)|Email,Tin nhắn tức thời (IM)|Tin nhắn văn bản (SMS),"Tin nhắn tức thời (IM) và SMS được thiết kế tối ưu cho các nội dung trao đổi nhanh, ngắn gọn và trực tiếp.",
3,single,"Bạn hãy cho biết, loại giao tiếp nào là phù hợp nhất để giao tiếp khi cách nhiều múi giờ?",Đồng thời (Simultaneous)|Đồng bộ (Synchronous)|Không đồng bộ (Asynchronous)|Thời gian thực (Real-time),Không đồng bộ (Asynchronous),"Khi làm việc khác múi giờ, giao tiếp không đồng bộ (như Email, diễn đàn) cho phép người nhận đọc và trả lời theo khung giờ linh hoạt của họ.",
4,matrix,"Bạn tìm thấy một bài đăng trên mạng xã hội chia sẻ thông tin y tế không chính xác và gây hiểu lầm. Bạn quyết định trả lời bài viết này. Với mỗi phản hồi, hãy chọn Có nếu việc này tuân thủ các chuẩn mực đạo đức thích hợp trong môi trường số hoặc Không nếu không phải.","COLS: Có | Không /// ROWS: ""SAI RỒI! Bạn có TÌM HIỂU KỸ trước khi đăng bài này không?"" | ""Rất nhiều bác sĩ, bao gồm cả Jane Smith tuỳ Harvard Medical School đều không đồng ý"" | ""Rất khó để tìm hiểu tất cả mọi thứ, nhưng có rất nhiều nguồn để tìm hiểu về vấn đề này"" | ""Đây là việc làm sai làm và khiến bạn trông thật ngờ nghệch! Rõ ràng là bạn không tìm hiểu từ Harvard Medical School""","""SAI RỒI! Bạn có TÌM HIỂU KỸ trước khi đăng bài này không?"": Không | ""Rất nhiều bác sĩ, bao gồm cả Jane Smith tuỳ Harvard Medical School đều không đồng ý"": Có | ""Rất khó để tìm hiểu tất cả mọi thứ, nhưng có rất nhiều nguồn để tìm hiểu về vấn đề này"": Có | ""Đây là việc làm sai làm và khiến bạn trông thật ngờ nghệch! Rõ ràng là bạn không tìm hiểu từ Harvard Medical School"": Không","Chuẩn mực đạo đức mạng (Netiquette) yêu cầu giao tiếp lịch sự, dẫn chứng nguồn tài liệu uy tín; tránh viết hoa toàn bộ thể hiện sự giận dữ hoặc công kích, xúc phạm người khác.",
5,matrix,"Giải thích những nguy cơ tiềm ẩn và hậu quả của các bài đăng trên phương tiện truyền thông tiêu cực (Negative Media Posts). Đối với mỗi phát biểu về các bài đăng tiêu cực trên mạng xã hội, hãy chọn Đúng nếu đó là mối nguy hiểm hoặc Sai nếu không.","COLS: Đúng | Sai /// ROWS: Nếu bạn thực hiện quá nhiều bài đăng trên phương tiện truyền thông tiêu cực, nhà cung cấp dịch vụ điện thoại sẽ đóng tài khoản của bạn | Hướng các bài đăng tiêu cực đến một cá nhân có thể bị coi là đe doạ trực tuyến | Đọc các bài đăng tiêu cực trên mạng xã hội có thể gây ra trầm cảm và khiến lòng tự trọng thấp","Nếu bạn thực hiện quá nhiều bài đăng trên phương tiện truyền thông tiêu cực, nhà cung cấp dịch vụ điện thoại sẽ đóng tài khoản của bạn: Sai | Hướng các bài đăng tiêu cực đến một cá nhân có thể bị coi là đe doạ trực tuyến: Đúng | Đọc các bài đăng tiêu cực trên mạng xã hội có thể gây ra trầm cảm và khiến lòng tự trọng thấp: Đúng",Nhà mạng viễn thông không quản lý hay khóa tài khoản dựa trên nội dung bài đăng mạng xã hội; công kích cá nhân có thể cấu thành tội đe dọa trực tuyến và tiêu thụ nội dung tiêu cực gây hại cho sức khỏe tinh thần.,
6,single,"Khi phản hồi không đồng ý với một bài đăng trực tuyến, bạn nên sử dụng giọng điệu giống như người đăng ban đầu.",Đúng|Sai,Sai,"Ngay cả khi người đăng ban đầu có thái độ tiêu cực hoặc gay gắt, bạn vẫn nên duy trì thái độ bình tĩnh, chuyên nghiệp và lịch sự thay vì bắt chước ngữ điệu công kích của họ.",
7,single,"Khi tương tác với các thành viên của cộng đồng kĩ thuật số, điều quan trọng nhất bạn cần nhớ là gì?",Đối xử lịch sự với người khác như cách bạn muốn được đối xử|Không sử dụng biểu tượng cảm xúc|Sử dụng tên đầy đủ của bạn|Tránh đăng hình ảnh,Đối xử lịch sự với người khác như cách bạn muốn được đối xử,"Quy tắc vàng trong giao tiếp số là luôn đối xử tôn trọng, lịch sự với người khác đúng như cách bản thân mong muốn được đối xử.",
8,matrix,"Nối từng hình thức giao tiếp với tình huống đang sử dụng hình thức đó. Để trả lời, hãy di chuyển từng hình thức giao tiếp từ danh sách ở bên trái sang tình huống tương ứng ở bên phải.",COLS: Email | Tin nhắn văn bản | Bài đăng trên diễn đàn | Bài đăng trên Blog /// ROWS: Bạn liên lạc với công ty về việc nhận tiền hoàn lại | Bạn liên hệ với huấn luyện viên của mình sau giờ học để nói với anh ấy rằng bạn sẽ bỏ lỡ buổi tập hôm nay | Bạn thêm câu hỏi vào nhóm thảo luận trò chơi điện tử đang diễn ra | Bạn thêm một đoạn dài trình bày quan điểm của mình về sự đa dạng văn hoá vào nhật ký trực tuyến của mình,Bạn liên lạc với công ty về việc nhận tiền hoàn lại: Email | Bạn liên hệ với huấn luyện viên của mình sau giờ học để nói với anh ấy rằng bạn sẽ bỏ lỡ buổi tập hôm nay: Tin nhắn văn bản | Bạn thêm câu hỏi vào nhóm thảo luận trò chơi điện tử đang diễn ra: Bài đăng trên diễn đàn | Bạn thêm một đoạn dài trình bày quan điểm của mình về sự đa dạng văn hoá vào nhật ký trực tuyến của mình: Bài đăng trên Blog,Yêu cầu hoàn tiền cần thư từ chính thức (Email); xin phép gấp dùng Tin nhắn văn bản; thảo luận game dùng Diễn đàn (Forum); nhật ký/chia sẻ quan điểm dài dùng Blog.,
9,single,"Bạn hãy cho biết, hình thức giao tiếp nào sau đây là phù hợp nhất với những tin nhắn dài và để gửi tập tin?",Tin nhắn ngắn (SMS)|Tin nhắn tức thời (IM)|Thư điện tử (Email)|Hội nghị truyền hình (Video conferencing),Thư điện tử (Email),Thư điện tử (Email) là kênh tối ưu và chuẩn mực nhất để soạn thảo nội dung dài và đính kèm nhiều tệp tài liệu.,
10,single,"Bạn hãy cho biết, nếu một người dùng muốn gửi tin nhắn tức thời cho đồng nghiệp, nhưng trạng thái tài khoản của đồng nghiệp đang không khả dụng (Unavailable) thì cách nào sau đây là tốt nhất để người dùng có thể sử dụng?",Email cho đồng nghiệp|Cứ gửi tin nhắn|Gọi điện cho đồng nghiệp|Chờ cho đến khi tài khoản của đồng nghiệp khả dụng,Chờ cho đến khi tài khoản của đồng nghiệp khả dụng,"Khi trạng thái của đồng nghiệp là Unavailable, phương án lịch sự và tôn trọng không gian làm việc là chờ đến khi tài khoản của họ hiển thị trạng thái khả dụng trở lại.",
