id,type,question,options,correct_answers,explanation,image
1,multiple,Phương pháp nào có thể được sử dụng để đổi tên trang tính (Sheet) trong Excel? (Chọn 2),Nhấn đúp chuột vào tab trang tính|Thông qua tab Page Layout trên Ribbon|Thông qua tab Data trên Ribbon|Chọn và giữ (hoặc bấm chuột phải) vào tab trang tính,Nhấn đúp chuột vào tab trang tính|Chọn và giữ (hoặc bấm chuột phải) vào tab trang tính,"Trong Excel, bạn có thể đổi tên Sheet nhanh bằng cách nhấp đúp chuột trực tiếp vào tên sheet hoặc nhấp chuột phải chọn Rename.",
2,matrix,"Với mỗi phát biểu về Macro trong một trang tính Excel, hãy chọn Đúng hoặc Sai.","COLS: Đúng | Sai /// ROWS: Bạn có thể tạo ra Macro bằng cách viết lệnh trong trình soạn thảo lệnh | Mỗi Macro được lưu trữ thành một tập tin văn bản | Bạn có thể tạo một Macro bằng cách ghi lại một loạt lệnh, nhấn phím và bấm chuột | Macro là chuỗi sự kiện có thể được phát lại, giúp thực hiện các tác vụ lặp lại","Bạn có thể tạo ra Macro bằng cách viết lệnh trong trình soạn thảo lệnh: Đúng | Mỗi Macro được lưu trữ thành một tập tin văn bản: Sai | Bạn có thể tạo một Macro bằng cách ghi lại một loạt lệnh, nhấn phím và bấm chuột: Đúng | Macro là chuỗi sự kiện có thể được phát lại, giúp thực hiện các tác vụ lặp lại: Đúng",Macro có thể được ghi (Record) hoặc viết mã trong VBA Editor để tự động hóa các thao tác lặp lại; macro được lưu nhúng trong file (.xlsm) chứ không lưu thành file text riêng lẻ.,
3,matrix,Ghép từng tuỳ chọn chỉnh sửa hình ảnh bên phải phù hợp với mục đích sử dụng tương ứng bên trái.,COLS: Crop | Spot | Filter /// ROWS: Sửa lỗi trên hình ảnh | Thay đổi độ mờ trên hình ảnh | Giảm kích thước của hình ảnh,Sửa lỗi trên hình ảnh: Spot | Thay đổi độ mờ trên hình ảnh: Filter | Giảm kích thước của hình ảnh: Crop,Spot Healing sửa các khuyết điểm nhỏ; Filter áp dụng các hiệu ứng làm mờ/lọc màu; Crop cắt bỏ phần rìa để thu gọn kích thước khung hình.,
4,single,Tuỳ chọn chỉnh sửa video nào làm giảm thời gian tổng thể của video?,Trim|Zoom|Split|Crop,Trim,"Cắt tỉa (Trim) loại bỏ đoạn đầu hoặc đoạn cuối của video, trực tiếp làm giảm tổng thời lượng phát của video.",
5,multiple,Bạn muốn chỉnh sửa bức ảnh bên phải thành bức ảnh bên trái. Bạn cần sử dụng những công cụ nào? (Chọn 2),Crop|Copy|Filter|Cut,Crop|Filter,Bức ảnh bên phải bị mờ đục và góc rộng hơn; để chuyển thành ảnh bên trái cần cắt bớt viền (Crop) và áp dụng bộ lọc tăng tương phản/màu sắc (Filter).,
6,single,"Trong chỉnh sửa Video, thuật ngữ để loại bỏ phần đầu hoặc phần cuối của video là gì?",Clip|Cut|Crop|Trim,Trim,Thao tác Trim (Cắt tỉa) trong các phần mềm dựng video dùng để xén bỏ các đoạn thừa ở đầu hoặc cuối clip.,
7,single,Một người bạn đã yêu cầu bạn cắt bỏ hình ảnh của họ ở bên cạnh một bức ảnh trước khi bạn đăng bức ảnh lên mạng xã hội. Bạn khởi chạy phần mềm chỉnh sửa ảnh của mình và tải ảnh đó vào phần mềm. Tính năng nào sau đây trong phần mềm chỉnh sửa ảnh sẽ cắt bỏ những phần không mong muốn của hình ảnh?,Crop|Trim|Cut|Erase,Crop,Công cụ Cắt xén (Crop) loại bỏ các cạnh viền và các đối tượng không mong muốn ở rìa bức ảnh tĩnh.,
8,single,Video cần được giảm kích thước để phù hợp với một không gian cụ thể. Nên làm gì với Video để hoàn thành nhiệm vụ này?,Split|Crop|Trim|Splice,Crop,Cắt khung hình (Crop) điều chỉnh lại kích thước hiển thị và tỷ lệ khung hình của video cho vừa vặn với kích thước của khu vực bố cục.,
9,multiple,Phát biểu nào là đúng về nối Video khi chỉnh sửa Video? (Chọn 2),Một đoạn Video bị cắt|Một đoạn Video được chèn vào|Các Clip khác được di chuyển và ghi đè|Các Clip khác được di chuyển và không bị ghi đè,Một đoạn Video được chèn vào|Các Clip khác được di chuyển và không bị ghi đè,"Khi nối (insert/splice) một clip mới vào dòng thời gian, đoạn video mới được chèn vào và các clip phía sau tự động dịch chuyển mà không bị ghi đè dữ liệu.",
10,single,"Trên thẻ Home trong Word, nhóm nào cho phép người dùng đặt giãn cách dòng mặc định?",Font|Paragraph|Layout|Styles,Paragraph,Nhóm Đoạn văn (Paragraph) trên thẻ Home chứa các nút căn lề và biểu tượng giãn cách dòng/đoạn (Line and Paragraph Spacing).,
11,single,Các hạn chế của việc chỉnh sửa là gì?,Bảo vệ tài liệu khỏi bị mờ mà không có mật khẩu|Giới hạn các thay đổi đối với một phần cụ thể của tài liệu|Khóa việc sử dụng các phím cụ thể trên bàn phím của bạn|Hạn chế các tính năng đang hoạt động trong một ứng dụng thông qua cấp phép,Giới hạn các thay đổi đối với một phần cụ thể của tài liệu,Tính năng Restrict Editing (Hạn chế chỉnh sửa) cho phép người tạo tài liệu khóa hoặc chỉ cho phép người xem sửa đổi tại những vùng nhất định được chỉ định.,
