id,type,question,options,correct_answers,explanation,image
1,single,Loại bản phát hành nào cho phép người dùng tận dụng hình ảnh của một cá nhân?,Location release|Model release|Marketing release|Media release,Model release,Bản phát hành người mẫu (Model release) là văn bản thỏa thuận pháp lý cho phép người chụp/sử dụng hình ảnh của cá nhân vào các mục đích thương mại hoặc xuất bản.,
2,matrix,"Bạn đang nghiên cứu về bảo hộ sở hữu trí tuệ. Cụ thể, bạn đang làm việc để hiểu ý nghĩa của ""vi phạm - infringement"" hoặc ""chiếm đoạt - misappropriation"". Ghép từng loại sở hữu trí tuệ với mô tả vi phạm của nó.","COLS: Bí mật thương mại (Trade Secrets) | Bằng sáng chế (Patent) | Thương hiệu (Trademark) | Bản quyền (Copyright) /// ROWS: Sao chép, phân phối, trưng bày hoặc biểu diễn một tác phẩm, hoặc tạo ra các tác phẩm phái sinh mà không được phép của người giữ bản quyền | Sử dụng hoặc bán một phát minh mà không được phép của người nắm giữ quyền sở hữu trí tuệ | Trộm cắp hoặc chiếm đoạt cho các mục đích kinh tế hoặc để làm lợi cho các thế lực bên ngoài là một tội phạm liên bang | Sử dụng Logo hoặc tên tương tự với Logo hoặc tên của một bên khác","Sao chép, phân phối, trưng bày hoặc biểu diễn một tác phẩm, hoặc tạo ra các tác phẩm phái sinh mà không được phép của người giữ bản quyền: Bản quyền (Copyright) | Sử dụng hoặc bán một phát minh mà không được phép của người nắm giữ quyền sở hữu trí tuệ: Bằng sáng chế (Patent) | Trộm cắp hoặc chiếm đoạt cho các mục đích kinh tế hoặc để làm lợi cho các thế lực bên ngoài là một tội phạm liên bang: Bí mật thương mại (Trade Secrets) | Sử dụng Logo hoặc tên tương tự với Logo hoặc tên của một bên khác: Thương hiệu (Trademark)","Bản quyền bảo hộ tác phẩm sáng tạo; Bằng sáng chế bảo hộ phát minh; Bí mật thương mại bảo vệ thông tin kinh doanh bí mật; Thương hiệu bảo vệ dấu hiệu nhận diện, tên gọi và logo.",
3,single,Bạn đang chuẩn bị một bản trình chiếu kỹ thuật số để kiếm tiền cho câu lạc bộ của mình. Bạn tìm kiếm một bài hát trên mạng để phối lại và thêm vào bài thuyết trình của mình. Tuỳ chọn nào sau đây là giấy phép Creative Commons cho phép bạn phối lại bài hát cho bản trình bày của mình?,Tùy chọn 1|Tùy chọn 2|Tùy chọn 3|Tùy chọn 4,Tùy chọn 4,"Tùy chọn 4 hiển thị giấy phép CC BY-SA (Ghi nhận công trạng - Chia sẻ tương tự), cho phép phối lại (tạo tác phẩm phái sinh) và dùng cho mục đích thương mại miễn là chia sẻ theo cùng điều khoản.",
4,multiple,Bạn cần thay Hình ảnh 1 thành Hình ảnh 2 bằng cách: Xoá hình tròn ở bên trái của ảnh; Chuyển ảnh từ có màu thành đơn sắc. Bạn nên sử dụng hai công cụ chỉnh sửa ảnh nào? (Chọn 2),Lọc (Filter)|Phơi sáng (Exposure)|Cắt tỉa (Trim)|Cắt xén (Crop),Lọc (Filter)|Cắt xén (Crop),"Cắt xén (Crop) dùng để cắt bỏ hình tròn ở bên trái bức ảnh, và Bộ lọc (Filter) áp dụng hiệu ứng chuyển đổi bảng màu sang đen trắng/đơn sắc.",
5,single,"Trong PowerPoint, tuỳ chọn nào được sử dụng để thêm hiệu ứng khi bản trình chiếu chuyển từ trang chiếu này sang trang chiếu tiếp theo?",Effects|Animations|Transition|Slide Show,Transition,Hiệu ứng chuyển trang (Transition) quản lý cách xuất hiện và chuyển cảnh giữa các slide; Animation dùng cho các đối tượng bên trong từng slide.,
6,single,Thẻ (Tab) nào trong PowerPoint được sử dụng khi một người muốn xem tất cả các Transition và Animation trong bài trình chiếu?,Home|Slide Show|Design|Transitions,Slide Show,"Khi trình chiếu ở chế độ Slide Show, toàn bộ các hiệu ứng chuyển slide (Transitions) và hoạt ảnh đối tượng (Animations) sẽ được phát và hiển thị trực quan đầy đủ.",
7,matrix,Bạn đang chuẩn bị một bài trình chiếu slide cho lớp Lịch sử Hoa Kỳ của mình. Bạn đã được chỉ định một nhân vật lịch sử để báo cáo với các bạn cùng lớp của mình. Thứ tự các bước được khuyến nghị bạn nên thực hiện để tạo bài trình chiếu slide là gì?,"COLS: Bước 1 | Bước 2 | Bước 3 | Bước 4 | Bước 5 | Bước 6 | Bước 7 /// ROWS: Tạo một dàn ý có cấu trúc | Nhập dàn ý vào bản trình chiếu | Chọn một thiết kế | Tạo trang Tiêu đề | Áp dụng bố cục trang chiếu (Slide Layouts) cho nội dung | Thêm đồ hoạ, biểu đồ và hoạt ảnh (Animations) | Áp dụng quá trình chuyển đổi (Transitions)","Tạo một dàn ý có cấu trúc: Bước 1 | Nhập dàn ý vào bản trình chiếu: Bước 2 | Chọn một thiết kế: Bước 3 | Tạo trang Tiêu đề: Bước 4 | Áp dụng bố cục trang chiếu (Slide Layouts) cho nội dung: Bước 5 | Thêm đồ hoạ, biểu đồ và hoạt ảnh (Animations): Bước 6 | Áp dụng quá trình chuyển đổi (Transitions): Bước 7",Quy trình thiết kế bài thuyết trình chuẩn: Lập dàn ý -> Nhập dàn ý -> Chọn thiết kế/theme -> Làm trang tiêu đề -> Sắp xếp layout -> Chèn đồ họa hoạt ảnh -> Áp dụng hiệu ứng chuyển trang.,
8,single,"Trong PowerPoint, loại trang chiếu nào lưu trữ bố cục, màu sắc và Logo của trang trình chiếu được sử dụng trong bài trình chiếu",Blueprint|Master|Storyboard|Template,Master,"Slide Master (Trang chiếu cái) lưu trữ toàn bộ các thông tin về phân cấp phông chữ, bảng màu, vị trí logo và bố cục nền áp dụng đồng loạt cho toàn bài.",
9,matrix,"Bạn đang sử dụng chương trình phần mềm mới để tạo bài trình chiếu. Bạn cần sử dụng một chức năng không quen thuộc. Với mỗi tài nguyên, hãy chọn Có nếu bạn có thể sử dụng nó để tìm kiếm sự hỗ trợ hoặc Không nếu không thể.",COLS: Có | Không /// ROWS: Tính năng Trợ giúp (Help) trong chương trình | Hướng dẫn cài đặt phần mềm | Diễn đàn trực tuyến dành riêng cho phần mềm | Trang LinkedIn dành cho công ty phần mềm,Tính năng Trợ giúp (Help) trong chương trình: Có | Hướng dẫn cài đặt phần mềm: Không | Diễn đàn trực tuyến dành riêng cho phần mềm: Có | Trang LinkedIn dành cho công ty phần mềm: Không,Tài liệu Trợ giúp tích hợp và Diễn đàn cộng đồng người dùng cung cấp hướng dẫn cách thao tác tính năng; trang LinkedIn doanh nghiệp và sách cài đặt không chứa hướng dẫn sử dụng chi tiết.,
10,single,"Một công ty muốn đảm bảo rằng mỗi bài trình chiếu được sử dụng có cùng phông chữ, màu sắc và căn chỉnh văn bản. Em hãy cho biết, tuỳ chọn nào sau đây công ty nên lựa chọn xây dựng?",Master file|Boilerplate|Storyboard|Template,Template,Một mẫu bài trình chiếu (Template) được thiết kế sẵn chuẩn nhận diện thương hiệu giúp các nhân viên trong công ty luôn tạo ra các bài thuyết trình đồng bộ và chuyên nghiệp.,
11,multiple,Phát biểu nào là đúng về hiệu ứng Transition trong PowerPoint? (Chọn 2),Một loại transition được phép cho mỗi bài trình chiếu|Thời gian của transition có thể được kiểm soát|Transition diễn ra trong khi phát một trang trình chiếu|Transition có thể chứa âm thanh,Thời gian của transition có thể được kiểm soát|Transition có thể chứa âm thanh,Người dùng có thể điều chỉnh thời lượng (Duration) và chèn hiệu ứng âm thanh (Sound) đi kèm khi thực hiện chuyển tiếp slide.,
12,matrix,Ghép từng thuật ngữ trong bài trình bày với định nghĩa tương ứng.,COLS: Hoạt hình (Animation) | Chuyển tiếp (Transition) | Bản cái (Master) | Mẫu (Template) /// ROWS: Hiệu ứng hình ảnh có chức năng di chuyển ảnh ra và vào các trang trình bày | Hiệu ứng đặc biệt được sử dụng để chuyển tiếp trang trình bày | Trang trình bày kiểm soát thiết kế của bạn | Tập tin chứa các kiểu tạo sẵn,Hiệu ứng hình ảnh có chức năng di chuyển ảnh ra và vào các trang trình bày: Hoạt hình (Animation) | Hiệu ứng đặc biệt được sử dụng để chuyển tiếp trang trình bày: Chuyển tiếp (Transition) | Trang trình bày kiểm soát thiết kế của bạn: Bản cái (Master) | Tập tin chứa các kiểu tạo sẵn: Mẫu (Template),Animation cho chuyển động đối tượng; Transition cho chuyển cảnh giữa các slide; Slide Master quản lý giao diện gốc; Template là file mẫu dựng sẵn.,
13,multiple,Bạn đang chuẩn bị bố cục cho một bài thuyết trình PowerPoint do giáo viên của bạn chỉ định. Bạn sẽ được chấm điểm về sự thống nhất về mặt trực quan. Bạn nên tuân theo hai nguyên tắc thống nhất về mặt trực quan nào sau đây để tạo cho bài trình chiếu của mình một cái nhìn chuyên nghiệp? (Chọn 2),"Nhất quán trên tất cả các yếu tố trình bày, chẳng hạn như phông chữ và màu sắc|Sử dụng một phông chữ và màu sắc khác nhau ở mỗi bên|Áp dụng cùng một bố cục trên mọi trang chiếu|Tuân theo các nguyên tắc thiết kế về sự liên kết và lặp lại","Nhất quán trên tất cả các yếu tố trình bày, chẳng hạn như phông chữ và màu sắc|Tuân theo các nguyên tắc thiết kế về sự liên kết và lặp lại","Đảm bảo tính nhất quán (Consistency) về font, màu sắc và áp dụng nguyên tắc căn chỉnh, lặp lại (Alignment & Repetition) tạo nên vẻ đẹp chuyên nghiệp và hài hòa cho slide.",
14,single,"Một giám đốc tiếp thị đang chuẩn bị một bài thuyết trình và muốn một quả bóng nảy lên xuống trên một Slide. Em hãy cho biết, giám đốc tiếp thị nên thêm gì vào quả bóng?",Transition|Custom effect|Timing|Animation,Animation,"Để một vật thể chuyển động trên trang chiếu (như quả bóng nảy lên xuống), cần áp dụng hiệu ứng hoạt họa (Animation) cho đối tượng đó.",
